target_x,target_y,original_gaze_x,original_gaze_y,sim_rbf_gaze_x,sim_rbf_gaze_y
1128,559,1085.141414141414,537.3434343434343,1108.0080961555916,519.8404741911992
1216,591,1217.7117117117118,455.9009009009009,1224.9905463012124,515.4337448585866
1796,153,1687.533898305085,173.38983050847455,1764.068892277547,140.53953285206853
821,392,829.1344537815127,422.6218487394958,827.9880526340526,426.38233250139746
1614,748,1556.957627118644,759.6186440677966,1604.0896568685591,753.043383661108
366,347,341.5798319327731,330.0420168067227,363.0331038080234,322.1499926382326
1544,897,1595.25,869.4553571428571,1583.2950512724517,902.238136475254
806,341,830.9152542372881,353.1779661016949,824.4885867736442,341.45013334213786
1330,371,1211.4786324786326,409.1111111111111,1286.1492534508618,375.84586497307333
1249,937,1275.926605504587,862.6146788990826,1207.9939905404133,959.214434315396
1338,179,1204.0169491525423,189.53389830508476,1298.6331464816797,201.03745936726244
1648,969,1581.1610169491526,934.0,1632.4528300672152,961.3929280618854
1318,846,1300.008547008547,752.025641025641,1306.665426238542,796.4065202348037
494,484,512.7226890756302,499.9243697478992,493.8445309214008,479.88624572981064
994,470,1002.5,500.042372881356,1001.2554626641607,464.52121404329864
299,928,260.64957264957263,844.6581196581196,256.52819062118465,915.3150838492932
677,499,693.3069306930693,471.0693069306931,706.8432099712024,512.9542220078017
174,681,32.577319587628864,785.1340206185567,80.19510005538153,759.0029160320047
1670,917,1572.4700854700857,876.2991452991453,1601.0016048689356,856.4323671726462
1803,904,1690.093220338983,879.7372881355932,1825.7928186183929,847.068602262611
1029,651,921.9747899159664,631.8739495798319,1034.3556375276885,630.0052805271965
1074,320,1043.6120689655172,317.0086206896552,1084.584961324723,297.0226882499615
438,452,397.61344537815125,464.6890756302521,399.76172414936394,482.83359719317656
622,469,625.3277310924369,495.7647058823529,607.9334952597641,470.1723371750171
637,974,792.7818181818182,911.4,735.8698419281586,914.5476565963232
1547,408,1435.7425742574258,557.0693069306931,1539.1104979449708,494.6767438843736
417,475,416.0,417.5175438596491,426.0301540451409,442.26643819512566
631,712,615.5378151260504,689.4201680672269,619.9622840686352,707.633268908312
604,459,608.6974789915967,458.5630252100841,611.797103078693,447.32125296149513
997,696,991.2894736842104,698.0877192982456,985.713670849607,787.8537880720216
1165,201,1080.7881355932204,287.10169491525426,1115.662344966749,272.76407011254685
1450,756,1384.6218487394958,702.8403361344538,1409.8415395822856,748.3000562201745
620,224,584.3983050847457,206.22033898305085,585.2426238665736,193.4836730974332
211,854,250.45762711864407,824.5,162.08965767100335,872.87374671126
434,886,466.7166666666666,831.8916666666667,420.5143974077039,875.4270969044845
631,789,646.2773109243698,758.7394957983194,642.8121709560841,776.9391364715939
610,613,621.9910714285714,608.1160714285714,605.249747932909,613.9442639137881
698,722,692.9827586206897,702.8620689655172,686.93493013146,722.3725904150807
1747,889,1784.3454545454545,818.7545454545455,1748.1772431335764,852.7294880481511
1631,299,1621.8050847457628,327.10169491525426,1651.5070184526958,298.00872630591647
1435,144,1373.6694915254238,256.8813559322034,1411.5047028212716,188.39944266281665
1504,763,1502.40350877193,746.140350877193,1494.9582828271186,774.4308258737174
157,115,106.70434782608696,201.70434782608692,142.08324511370662,162.0167924096083
168,429,144.0,477.4691358024691,111.93538958198369,424.1862435009089
1196,737,1157.3090909090909,712.1818181818181,1192.68141785357,772.0767471513349
1625,100,1527.4916666666666,147.61666666666667,1568.3336371520636,69.81657440062645
1329,924,1357.3050847457628,863.8559322033898,1366.6336023691274,895.7448605506346
1756,561,1822.017391304348,505.5739130434783,1817.4992749663331,523.6144474781659
1495,872,1381.8833333333334,861.775,1424.3225899075094,849.7809362611375
504,892,542.7142857142857,864.8403361344538,551.6966924647164,900.0814092864273
1083,916,1044.90756302521,826.3949579831933,1076.1692696190808,853.2499086933618
1585,115,1490.5726495726497,241.47008547008548,1537.3322816573332,117.76566230283746
270,390,264.3898305084746,382.3305084745763,237.60824759052105,392.3671031104361
917,725,910.6206896551724,647.0948275862069,931.003885708433,646.9808130541659
322,409,285.5084745762712,431.70338983050846,308.50067138920554,420.0518572746785
139,373,93.84166666666668,356.40833333333336,104.5186108167016,367.1191894492331
1323,724,1259.825,724.4166666666666,1285.2215468596632,723.2374077944575
1055,463,1096.645161290323,381.0752688172043,1065.71764106562,386.7475906340797
889,575,758.1717171717172,551.4141414141415,858.3828903698827,565.5161234814909
840,670,864.5169491525423,620.7627118644068,845.4009779549549,628.0494675567477
386,572,298.6756756756757,599.5585585585585,340.5667292657951,612.9612618236581
1065,628,992.3362068965516,670.301724137931,1026.896334380591,700.1355215253369
1100,207,1059.4655172413793,253.98275862068965,1078.9010651440956,212.03240443542455
340,171,354.10169491525426,213.84745762711864,327.11724202119547,194.86465184698957
817,419,871.373831775701,390.0093457943925,866.8823761171507,405.5903879343572
1456,315,1471.085106382979,310.97872340425533,1464.990318756883,303.7374939245182
1621,143,1642.8,184.19166666666663,1608.439290990495,168.84256649667734
349,750,387.9333333333333,731.8583333333333,333.8647780766554,709.9014686458881
620,514,581.0545454545454,495.6818181818182,624.9286699002871,512.6619771766303
768,172,863.972972972973,69.32432432432432,832.2406698172119,27.460664199188383
1708,598,1624.5210084033613,693.9495798319327,1686.3251080942848,684.116597061623
528,137,567.0,87.38461538461539,545.3089952559683,108.06602520854632
697,306,639.4033613445379,311.8655462184874,672.7924507981803,300.53673356836595
1209,480,1204.4298245614036,424.578947368421,1223.308716720279,433.14573270817937
596,382,621.8139534883721,265.2558139534884,625.5558816976124,334.4256144065564
332,658,395.6186440677966,640.1779661016949,355.6837011237969,635.5148057773166
1246,541,1287.1596638655462,520.7647058823529,1311.4596662342872,557.2007211768369
1069,391,1048.218487394958,426.109243697479,1055.43572622459,380.2090756507688
794,184,819.3243243243244,240.93693693693692,843.360388264316,188.98330410284353
1326,624,1177.7333333333331,691.0416666666666,1290.7268730935075,657.006699496907
828,826,765.7247706422019,789.8990825688073,825.2067616972328,788.3056507743378
509,675,546.90756302521,671.7647058823529,531.3399465786907,679.3118718856302
1510,625,1454.3865546218487,622.9411764705883,1520.7649964439972,621.5782042112459
1559,159,1494.3846153846157,219.24786324786325,1551.1328404622757,171.32231196025094
1512,245,1523.9916666666666,257.9166666666667,1550.7885381043004,251.9019477898146
842,926,801.7563025210084,831.5798319327731,823.8678766750843,868.3357585991873
1389,356,1344.18487394958,348.0924369747899,1386.9287361973145,318.92654264058024
1101,731,1090.1965811965813,683.8974358974359,1108.7072037162834,686.9349184209805
456,949,429.65833333333336,975.3583333333332,436.2430544401883,1009.9565471876718
130,864,220.93636363636364,785.7454545454545,176.69269054277882,840.5206671684214
1499,588,1513.2649572649573,569.4615384615385,1514.0059976243815,576.6021745005993
415,288,466.6237623762376,289.1188118811881,457.4096962136448,298.7048562118477
767,350,876.2456140350877,354.3421052631579,765.966352820087,352.3818912162775
1760,780,1752.8403361344538,838.0336134453781,1811.1710801710449,839.5941925921693
370,280,281.5042735042735,263.85470085470087,346.9335663531764,285.2894204136842
1511,938,1406.8761061946902,842.6991150442478,1533.784539837194,840.4518327641795
1649,716,1683.3865546218487,684.0756302521008,1720.557384997322,691.0028464451503
1304,933,1301.2767857142858,915.7678571428572,1315.5955442610964,920.5608062587906
629,233,668.9655172413793,301.87068965517244,635.8971566309066,227.78742625584783
1011,410,975.2773109243698,390.3109243697479,993.7267578765365,386.62552809884744
1769,932,1578.1681415929204,960.9203539823008,1643.44385222458,967.7008229232376
1194,196,1156.6302521008404,225.98319327731093,1198.7692346770095,205.26456717027523
1376,484,1383.4375,659.0982142857143,1371.4632278878655,576.1303307787779
1149,961,1173.844827586207,888.198275862069,1216.3141430812436,950.4217269779308
1628,854,1514.5258620689656,978.3793103448276,1623.5215554802653,911.340606172296
908,275,939.7966101694916,286.1864406779661,936.3228003121608,289.65257746293844
133,898,60.109243697479,903.4201680672268,76.80786947625096,929.011244588812
1089,288,1040.1344537815123,375.4033613445378,1075.562911215619,323.94945665622663
346,589,372.85087719298247,587.5877192982456,361.3318235988268,584.6290340316773
1501,702,1367.045045045045,720.009009009009,1517.1840025182526,733.7638313792903
1148,208,1078.4234234234234,211.3603603603604,1131.0625197234424,193.6461891909784
796,443,763.9495798319327,491.4201680672269,790.8572806166932,476.95027629033774
1718,261,1674.7627118644068,265.40677966101697,1708.7720434504904,226.61969323855928
1190,652,1146.8415841584158,605.1782178217821,1156.5199518950578,648.655574969342
1574,228,1678.3445378151262,219.2941176470588,1663.716506489242,154.95413703934358
1426,600,1390.9915966386554,616.344537815126,1417.3158155268395,604.2607248123473
786,559,775.5,527.9310344827586,768.7667602822071,535.3480185958357
1733,450,1624.571428571429,539.109243697479,1706.5117686094536,470.88525567441354
1596,753,1500.1680672268908,733.546218487395,1575.6025062862625,737.6054694908139
705,878,715.9747899159664,783.655462184874,723.7610852417545,790.095021606809
1583,144,1578.060606060606,246.1818181818182,1620.2148884690866,185.5425478111536
863,797,843.7899159663865,804.6974789915967,871.791763184013,827.0497636849977
1507,878,1623.0336134453785,959.3277310924368,1600.025917790844,969.8650432175252
1612,797,1511.9915966386554,774.1932773109244,1534.2428521829108,751.1874366987852
931,107,874.801724137931,147.64655172413794,884.8167776986184,104.0928794896063
855,965,852.6050420168067,848.8319327731092,857.3519205285743,978.138183620198
947,763,967.6333333333332,816.7666666666667,931.3304997991972,813.3700470991247
1150,563,1084.2627118644068,647.771186440678,1145.849658628626,627.3980698489016
597,386,621.034188034188,364.5982905982906,646.9126246119209,368.66516340077976
1130,386,1068.9166666666667,462.725,1121.0267400349271,395.73326059607655
1089,709,971.3083333333332,701.8333333333334,1078.1605318504696,708.624074341621
791,601,825.8991596638656,590.7478991596639,792.0740882635077,620.3031539653869
909,136,888.8807339449542,189.56880733944956,884.590184656097,130.56614456993074
1231,541,1196.9298245614036,493.60526315789474,1161.736775344912,546.352721052729
822,381,798.6083333333333,426.3083333333333,788.7905694178565,420.8923392355781
1538,753,1472.4666666666667,722.1583333333333,1537.1250035715689,735.4502062495051
1332,233,1298.0666666666666,209.25,1332.3942350843072,251.2253437619316
510,193,490.4821428571428,196.89285714285717,521.7660841867184,179.15509536766177
173,671,208.42857142857144,677.7478991596639,195.63281936958617,654.8608279984901
1813,147,1708.6916666666666,224.25,1759.334912810717,188.552567689225
1157,671,1172.3085106382978,582.436170212766,1184.6963288558436,609.8972963839756
932,583,890.3534482758621,499.9568965517241,918.5835506767996,532.5161935872002
621,563,675.3916666666667,422.9916666666667,659.4317248905539,437.637768130738
924,360,883.7657657657658,381.0450450450451,925.7440653551688,344.64555247138134
1710,230,1666.436974789916,367.1932773109244,1723.9873763142034,338.00805249148834
1260,571,1374.2542372881355,468.70338983050846,1331.4713207175046,547.2822180575083
499,387,514.6779661016949,392.957627118644,514.1114954864065,387.8294778737777
717,553,708.8571428571429,505.781512605042,690.6711224321474,513.3789235976385
1409,699,1440.3983050847455,697.4915254237288,1426.9749342940067,704.858875049268
759,158,741.1833333333333,150.625,752.2285400390348,106.95408443829297
601,336,607.1111111111111,360.7592592592592,591.3221978073783,366.7482765685794
1377,899,1370.2222222222222,903.3504273504274,1355.1894677636865,936.3882638621748
1769,566,1697.2016806722688,594.8823529411765,1746.1991299750105,555.0858539625251
289,747,305.5948275862069,706.9137931034483,309.70354319319347,768.6002727219727
1184,301,1148.457627118644,385.39830508474574,1202.703993699925,316.36955404728894
1020,192,1034.3583333333331,186.8,1071.2532859298406,153.93594609283508
438,977,472.078947368421,873.4824561403509,449.38370242874146,951.1866794745353
1694,374,1579.7543859649122,445.2280701754386,1670.4861486893074,389.36586442941655
1483,758,1472.0333333333333,763.925,1508.4530253394828,767.9335940243002
1116,805,1126.550847457627,808.0762711864406,1121.5724814612006,818.0521977956038
471,168,480.3865546218488,171.94117647058823,484.0428663826944,157.67417247992267
359,741,369.1512605042017,836.0504201680673,309.40169947072184,870.5533557059762
1683,919,1563.625,875.1339285714286,1637.413600808081,890.335512423208
579,767,549.3130434782609,720.5043478260869,533.1686581841519,765.4163956783601
1518,540,1435.4915254237287,513.3474576271186,1508.137989768598,545.7161773886797
1564,677,1481.7226890756303,689.0,1543.0856236034108,696.419614196867
1233,582,1211.3304347826088,574.6260869565217,1213.2254241607384,578.6666638288226
1536,101,1460.7394957983192,129.71428571428572,1463.2470194475131,81.61230568082544
1522,411,1455.803738317757,484.9158878504673,1457.1566226635598,400.9669997873603
398,595,394.4224137931034,565.2844827586207,384.06502884486224,567.0987885251707
1492,753,1487.8898305084747,772.6355932203389,1500.0870604321854,763.0987907985532
1744,546,1697.1949152542372,560.0762711864406,1735.922077919581,547.97443617308
779,486,799.957627118644,488.1271186440678,788.0215185607276,486.49744643284527
738,486,774.2268907563025,518.5126050420168,751.4930315981392,527.6125909924399
1384,842,1235.8623853211009,825.2844036697247,1338.168605385788,838.7799835178411
1710,545,1667.9083333333333,542.5916666666667,1719.0262398155987,431.65105332584625
426,636,409.6470588235294,612.2436974789916,404.21212767220175,639.6488211266089
100,867,-19.45378151260504,805.7394957983194,-65.85464665940711,880.3451840519065
906,384,842.5213675213676,425.4273504273504,868.2114027804081,395.94014547991696
1819,549,1718.764705882353,580.0840336134454,1719.0985866194635,531.4122901143064
1345,478,1295.8166666666666,453.3416666666666,1290.9640257614703,480.9735325969855
135,241,163.42372881355934,272.3474576271187,139.70424632503102,260.9914993282248
1635,383,1576.4414414414414,477.3603603603604,1646.1508099846528,367.7557949463964
1155,478,1195.4778761061948,469.4070796460177,1130.0964534027887,484.5667592777312
1635,405,1516.6724137931035,399.0086206896552,1557.2183257624852,354.0833223627948
566,182,623.0,157.3913043478261,616.2574688231992,159.63287835665952
1158,217,1152.6638655462184,264.3613445378151,1130.2012047424744,211.46516496693755
1379,495,1318.525,474.4916666666667,1350.0299352085892,498.6249070242612
246,881,240.56880733944956,844.2201834862385,273.56379904367714,885.2626340513856
1563,601,1559.9727272727273,754.9545454545455,1577.2222150433452,687.2768109970365
255,887,347.453781512605,790.655462184874,283.95173649052555,854.9246625315243
1327,948,1233.787037037037,818.9074074074074,1279.0699862809388,931.2489661830992
1545,869,1348.3727272727272,853.5454545454545,1491.7824862840678,912.3176847222626
904,607,910.875,657.8583333333333,918.171510475862,643.3070374355829
182,259,127.5798319327731,408.21008403361344,199.9522805656934,373.8374198495854
560,210,581.7983193277311,208.7983193277311,601.2591963919067,195.1840718450052
959,682,944.0338983050848,754.4661016949152,944.7513463457444,688.3502333886814
1215,157,1189.8157894736842,183.75438596491227,1205.008002381854,156.4967872860899
140,616,110.47747747747748,600.009009009009,95.12563461027906,626.446723206605
926,915,823.8888888888889,798.9401709401709,874.9262313256332,880.0349570674092
509,696,483.4957983193277,678.0420168067227,482.2368242482273,717.7586525603448
1078,365,1060.1596638655462,406.4117647058824,1054.7222677473528,399.1813538435253
1501,340,1467.4237288135594,393.83898305084745,1502.757154305861,356.0201208485697
1569,957,1560.7951807228917,815.4819277108434,1577.909781767615,867.1306059069361
739,626,764.65,599.25,728.278801266944,629.3299730801232
186,212,152.25,248.78571428571428,186.31273467110228,220.08428314112828
195,614,229.02564102564105,591.2735042735043,207.9316719899989,642.0515414306137
376,220,368.7,226.3,366.195382912125,190.6951923151453
273,330,271.135593220339,336.1186440677966,284.1075382730265,346.62232134858954
377,616,485.78991596638656,610.5714285714286,416.7891845638803,599.1261808689421
495,691,532.7017543859649,711.9122807017544,465.8322557769741,667.018675266219
257,844,395.8487394957983,766.9747899159664,320.083291603752,859.8855769203361
307,125,284.70338983050846,132.28813559322035,308.1469552383011,112.72124855941895
461,107,477.71794871794873,199.1196581196581,427.5226770904553,102.91618483682282
697,868,705.5847457627119,847.0,710.037875794419,830.3011446993378
778,924,781.9739130434782,910.4,779.2938330552032,927.0098571827474
789,843,874.5818181818182,693.8363636363637,805.9287407158965,769.3034594586534
459,864,483.697247706422,835.7155963302753,471.8129240182767,852.3491634863847
797,319,778.9243697478992,318.0840336134454,806.0506294001901,296.47770375329765
255,558,165.61261261261262,549.1531531531532,213.2625249187738,570.0590661858371
1768,272,1768.4102564102564,273.5299145299145,1794.2973990732482,302.9904834355357
336,820,345.03361344537814,832.9747899159664,284.81827748701977,868.8504916486131
335,120,342.4102564102564,91.06837606837608,305.36117324889256,94.706675949509
1662,866,1596.1833333333334,872.1583333333333,1654.789398411804,858.0229546955258
1400,469,1316.081081081081,511.3693693693694,1362.32379316113,514.043867140936
1740,679,1716.162393162393,591.5299145299145,1736.4519691758794,623.8670688247117
157,529,166.6320754716981,537.1132075471698,149.4047242889595,526.5374950210539
