model,mean_error,variance
similarity,57.4766891502704,1929.1674073005513
poly,53.83857744509956,2082.894356014178
"rbf[thin_plate,s=1.0]",54.037494974866604,2065.2854589904982
"rbf[multiquadric,s=0.0]",54.73060342146291,2130.2266058383543
"rbf[multiquadric,s=1.0]",70.00842044825933,2438.5046813576037
"rbf[multiquadric,s=2.0]",101.80705422398613,5711.013174476318
tps,53.698745195941676,1933.1487097772133
pwa,65.11254106056118,5917.811827999624
gpr,50.99475211389406,1341.2773870232272
"sim+rbf[thin_plate,s=1.0]",53.88082265664509,2021.7049323645342
"sim+rbf[multiquadric,s=0.0]",55.46561832536775,2336.404769436963
"sim+rbf[multiquadric,s=1.0]",49.37911497138935,1436.8877231666897
"sim+rbf[multiquadric,s=2.0]",49.60187032772926,1437.0547705642018
sim+tps,53.698745220289375,1933.1487207697614
sim+pwa,65.11254106056118,5917.811827999624
sim+gpr,50.84487710862993,1520.9511803821824
