x,y
656,1025
657,1024
648,1018
676,1012
693,1014
700,1020
667,1031
630,1051
628,1062
625,1058
596,1028
589,1025
611,1041
630,1052
659,1066
653,1051
640,1032
646,1019
646,1035
658,1051
677,1065
671,1067
638,1058
635,1040
653,1016
656,1007
648,1004
621,1009
621,1012
625,1029
639,1035
641,1036
648,1015
632,1007
622,1012
626,1028
651,1035
651,1041
642,1045
649,1027
606,1026
618,1027
630,1044
622,1065
607,1077
608,1068
608,1045
612,1032
624,1033
642,1049
607,1074
602,1058
621,1044
651,1039
652,1041
664,1049
676,1056
666,1059
653,1036
656,1029
649,1026
636,1029
622,1040
613,1048
567,1039
564,1029
573,1019
548,993
539,976
547,997
559,993
564,973
550,950
561,958
560,961
570,955
572,953
564,964
555,976
537,987
563,994
557,986
570,995
578,995
590,984
652,996
683,985
694,973
702,974
694,973
668,977
634,982
642,983
655,983
664,969
660,962
658,964
673,968
681,964
662,949
641,929
635,909
615,919
592,924
583,895
578,893
582,898
577,911
578,917
551,910
544,919
568,924
585,923
559,918
581,911
