x,y
302,786
304,780
298,801
279,808
257,816
266,837
293,834
302,831
267,826
230,832
198,840
191,851
186,856
197,853
207,849
243,846
280,837
310,817
300,826
283,829
295,838
286,853
277,855
246,840
272,822
286,783
288,746
280,745
267,777
247,819
237,827
247,831
275,837
300,859
292,853
280,842
270,844
265,857
260,867
265,865
264,879
272,881
291,863
263,851
244,851
251,826
266,795
287,796
304,816
330,852
292,837
269,853
267,866
265,866
271,864
272,878
264,873
263,850
254,836
265,847
271,839
295,812
286,818
285,830
291,839
296,845
311,843
251,840
202,846
178,843
179,851
186,868
204,881
220,863
242,833
239,828
245,823
251,835
256,849
255,874
247,882
253,888
244,879
241,860
231,869
230,877
221,867
191,868
192,880
224,867
258,858
283,850
293,848
308,840
310,838
309,836
316,821
294,813
275,804
274,788
281,775
296,769
283,783
251,797
239,795
234,792
232,796
234,801
256,814
262,807
271,805
267,807
249,802
240,808
247,806
270,783
269,803
251,818
