timestamp,target_index,target_x,target_y,orginal_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples
2025-10-17T20:57:05.551,2,1175,238,1118.042372881356,311.66101694915255,,,,,-56,72,,,,,36.74,118
2025-10-17T20:57:11.974,1,729,238,651.6,347.44166666666666,,,,,-77,108,,,,,30.83,120
2025-10-17T20:57:18.378,10,1175,953,1164.18487394958,1038.3361344537816,,,,,-10,85,,,,,30.3,119
2025-10-17T20:57:24.786,3,1621,238,1573.5882352941176,237.7731092436975,,,,,-47,0,,,,,39.07,119
2025-10-17T20:57:31.181,0,283,238,191.59166666666667,347.5833333333333,,,,,-91,108,,,,,37.65,120
2025-10-17T20:57:37.585,4,283,596,229.45,667.35,,,,,-53,71,,,,,27.72,120
2025-10-17T20:57:43.979,11,1621,953,1613.925,972.9833333333333,,,,,-7,19,,,,,49.2,120
2025-10-17T20:57:50.367,9,729,953,703.218487394958,913.4285714285714,,,,,-25,-39,,,,,44.23,119
2025-10-17T20:57:56.773,7,1621,596,1592.8583333333333,580.4416666666667,,,,,-28,-15,,,,,42.93,120
2025-10-17T20:58:03.179,8,283,953,252.64705882352942,966.3865546218487,,,,,-30,13,,,,,42.06,119
2025-10-17T20:58:09.577,6,1175,596,1115.890756302521,624.1848739495798,,,,,-59,28,,,,,43.97,119
2025-10-17T20:58:15.987,5,729,596,659.575,591.3,,,,,-69,-4,,,,,38.48,120
