model,mean_error,variance
similarity,57.244583873097895,1826.0187535558161
poly,54.43466004317641,1936.9121470653356
"rbf[thin_plate,s=1.0]",54.574090683379204,1982.2538602514853
"rbf[multiquadric,s=0.0]",56.64140458534393,2681.612995367342
"rbf[multiquadric,s=1.0]",77.0287802408049,2120.3304321562673
"rbf[multiquadric,s=2.0]",105.67104587830718,4378.183963507459
tps,54.275015847271625,1883.96599822215
pwa,53.93764755874568,2540.4335206511983
gpr,51.01523399994657,1286.2494374952728
"sim+rbf[thin_plate,s=1.0]",54.41984432239048,1950.7643608524304
"sim+rbf[multiquadric,s=0.0]",56.686030528549026,2844.3527688996096
"sim+rbf[multiquadric,s=1.0]",49.04365480924926,1349.7884714551974
"sim+rbf[multiquadric,s=2.0]",49.399066679347754,1365.4755691747296
sim+tps,54.27501587827958,1883.9660117250482
sim+pwa,53.93764755874569,2540.4335206511987
sim+gpr,51.63273644738033,1496.1881233004435
