x,y
1473,373
1458,393
1439,412
1429,411
1441,413
1450,413
1481,416
1490,424
1464,415
1435,411
1423,399
1442,395
1467,396
1488,412
1488,429
1495,419
1514,409
1501,423
1493,432
1477,428
1473,411
1439,363
1424,334
1425,323
1411,339
1420,359
1421,360
1430,354
1443,366
1439,359
1430,349
1427,339
1451,354
1451,381
1448,414
1444,417
1439,427
1428,438
1424,435
1440,423
1445,429
1456,433
1479,428
1479,427
1468,430
1448,436
1423,434
1424,414
1450,402
1444,404
1441,419
1431,412
1417,384
1420,359
1428,358
1433,366
1424,358
1441,355
1453,356
1454,357
1465,356
1471,371
1466,372
1457,361
1448,366
1437,370
1430,381
1434,389
1436,386
1440,385
1458,379
1473,374
1456,368
1433,369
1403,381
1401,385
1393,378
1389,368
1399,371
1397,384
1393,387
1379,375
1380,367
1378,367
1379,377
1389,388
1397,385
1409,385
1423,355
1436,342
1434,330
1437,357
1447,369
1440,369
1427,371
1411,375
1418,400
1418,408
1408,409
1406,397
1405,398
1407,401
1394,385
1402,376
1396,395
1419,398
1418,381
1422,349
1411,357
1409,364
1395,365
1412,371
1414,385
1425,384
1424,372
1439,358
1435,378
1402,397
