model,mean_error,variance
similarity,58.097526654352805,1920.52981365595
poly,62.51765385460107,2404.659887349019
"rbf[thin_plate,s=1.0]",55.620190918703585,2048.872581329154
"rbf[multiquadric,s=0.0]",61.46213141476066,2773.027773996158
"rbf[multiquadric,s=1.0]",104.35558174911287,3924.9535417454636
"rbf[multiquadric,s=2.0]",155.35196919988604,9507.560788559433
tps,55.34931597197156,1925.7856878408427
pwa,80.35474299411344,9493.014853134493
gpr,66.13535950848826,2744.9407165132425
"sim+rbf[thin_plate,s=1.0]",55.526649856129715,1997.5097218503777
"sim+rbf[multiquadric,s=0.0]",58.43959992364908,2798.925449787976
"sim+rbf[multiquadric,s=1.0]",51.923443491627815,1561.1816186090948
"sim+rbf[multiquadric,s=2.0]",52.68938055648218,1583.6478805977304
sim+tps,55.34931599801379,1925.785694527382
sim+pwa,80.35474299411344,9493.014853134493
sim+gpr,54.432395810985874,1693.9674182477386
