model,mean_error,variance
similarity,65.82253105413952,2132.724855300741
poly,93.82376573561521,4929.238932305497
"rbf[thin_plate,s=1.0]",453.2308571012077,501938.43900731124
"rbf[multiquadric,s=0.0]",141.39917989887044,5140.0394073455855
"rbf[multiquadric,s=1.0]",168.36776076629238,7909.4194114432485
"rbf[multiquadric,s=2.0]",283.6859621133575,30111.568670841978
tps,63.41092604996592,2129.5529825423973
pwa,98.70889171683034,15998.898262809173
gpr,202.31445089372792,17381.209929251247
"sim+rbf[thin_plate,s=1.0]",108.7690895394311,200574.63200182686
"sim+rbf[multiquadric,s=0.0]",63.87280072843147,2189.3546772857862
"sim+rbf[multiquadric,s=1.0]",62.39407667334622,1884.9636015876993
"sim+rbf[multiquadric,s=2.0]",63.00362473564051,1918.0750818709428
sim+tps,63.41092605104493,2129.5529827775454
sim+pwa,98.70889171683034,15998.898262809173
sim+gpr,63.783375410367064,2070.811819792048
