x,y
1764466998.767619,1429,843
1764466998.7971315,1446,844
1764466998.8320985,1459,828
1764466998.8677795,1452,821
1764466998.9030921,1453,825
1764466998.9420705,1446,818
1764466998.9840443,1451,816
1764466999.0071423,1469,822
1764466999.0380251,1465,840
1764466999.0724754,1463,846
1764466999.1074636,1466,847
1764466999.1326923,1396,713
1764466999.1619985,1355,598
1764466999.1973581,1334,585
1764466999.22747,1079,517
1764466999.256954,1040,494
1764466999.2971125,1061,491
1764466999.3237028,1063,491
1764466999.3669014,1053,485
1764466999.402676,1045,482
1764466999.446881,980,468
1764466999.482609,933,437
1764466999.5118861,949,444
1764466999.552034,962,453
1764466999.5776687,969,461
1764466999.6130154,972,471
1764466999.6431384,969,460
1764466999.672132,965,451
1764466999.7074463,969,445
1764466999.7389727,984,455
1764466999.7726786,994,450
1764466999.803958,991,446
1764466999.8320284,980,447
1764466999.8669648,980,450
1764466999.9022064,975,453
1764466999.9318798,965,453
1764466999.972864,969,448
1764467000.0121844,966,445
1764467000.0479279,965,442
1764467000.0898535,972,427
1764467000.1279545,976,420
1764467000.1617882,972,423
1764467000.1873307,989,430
1764467000.2229607,981,422
1764467000.2576993,978,417
1764467000.2870812,979,416
1764467000.3217785,978,421
1764467000.3475552,982,432
1764467000.3847163,983,437
1764467000.4224463,996,439
1764467000.4518259,992,427
1764467000.482673,997,418
1764467000.5118232,990,419
1764467000.556744,994,422
1764467000.5976613,987,427
1764467000.6173575,978,426
1764467000.6517599,964,412
1764467000.6867232,951,407
1764467000.7126625,949,400
