timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples
2025-11-29T17:42:27.140,12,426,364,477.19166666666666,407.5,,,,,51,43,,,,,19.92,120
2025-11-29T17:42:33.536,8,163,1060,169.17808219178082,1053.7945205479452,,,,,6,-6,,,,,89.3,73
2025-11-29T17:42:39.940,7,1741,596,1669.4237288135594,602.728813559322,,,,,-71,6,,,,,28.51,118
2025-11-29T17:42:46.330,14,1478,364,1413.5593220338983,415.635593220339,,,,,-64,51,,,,,19.48,118
2025-11-29T17:42:52.722,16,952,828,992.3983050847457,806.1610169491526,,,,,40,-21,,,,,28.99,118
2025-11-29T17:42:59.127,10,1215,1060,1214.9243697478992,963.218487394958,,,,,0,-96,,,,,28.08,119
2025-11-29T17:43:05.533,5,689,596,747.1344537815127,602.9159663865546,,,,,58,6,,,,,21.19,119
2025-11-29T17:43:11.945,3,1741,132,1604.5666666666666,224.86666666666667,,,,,-136,92,,,,,14.84,120
2025-11-29T17:43:18.344,17,1478,828,1435.4915254237287,821.8389830508474,,,,,-42,-6,,,,,22.69,118
2025-11-29T17:43:24.749,13,952,364,967.6666666666666,397.2916666666667,,,,,15,33,,,,,27.94,120
2025-11-29T17:43:31.153,2,1215,132,1167.3333333333333,243.57142857142858,,,,,-47,111,,,,,33.26,105
2025-11-29T17:43:37.543,0,163,132,202.17543859649123,162.50877192982455,,,,,39,30,,,,,20.14,114
2025-11-29T17:43:43.946,15,426,828,524.4196428571429,823.9107142857143,,,,,98,-4,,,,,28.04,112
2025-11-29T17:43:50.336,6,1215,596,1186.008547008547,614.3846153846154,,,,,-28,18,,,,,21.68,117
2025-11-29T17:43:56.745,4,163,596,250.76923076923077,593.0598290598291,,,,,87,-2,,,,,27.31,117
2025-11-29T17:44:03.160,1,689,132,700.6583333333333,211.475,,,,,11,79,,,,,18.04,120
2025-11-29T17:44:09.553,11,1741,1060,1731.4957983193278,1053.1512605042017,,,,,-9,-6,,,,,33.33,119
2025-11-29T17:44:15.943,9,689,1060,773.3050847457627,1029.7288135593221,,,,,84,-30,,,,,29.1,118
