timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples
2025-11-27T15:03:14.559,16,952,828,958.6974789915967,828.9243697478992,,,,,6,0,,,,,22.92,119
2025-11-27T15:03:20.963,7,1741,596,1759.017094017094,590.008547008547,,,,,18,-5,,,,,56.36,117
2025-11-27T15:03:27.354,15,426,828,414.20168067226894,826.3697478991596,,,,,-11,-1,,,,,51.36,119
2025-11-27T15:03:33.748,1,689,132,723.1694915254237,160.35593220338984,,,,,34,28,,,,,41.49,118
2025-11-27T15:03:40.136,2,1215,132,1208.1166666666666,166.08333333333334,,,,,-6,34,,,,,40.49,120
2025-11-27T15:03:46.544,13,952,364,988.3025210084033,354.89915966386553,,,,,36,-9,,,,,50.57,119
2025-11-27T15:03:52.933,0,163,132,140.35,122.45833333333333,,,,,-22,-9,,,,,30.21,120
2025-11-27T15:04:05.733,14,1478,364,1504.8474576271187,371.7457627118644,,,,,26,7,,,,,41.98,118
2025-11-27T15:04:12.139,17,1478,828,1479.6864406779662,799.9830508474577,,,,,1,-28,,,,,29.23,118
2025-11-27T15:04:18.543,11,1741,1060,1849.873949579832,911.4453781512605,,,,,108,-148,,,,,90.11,119
2025-11-27T15:04:24.939,4,163,596,213.3760683760684,557.1196581196581,,,,,50,-38,,,,,50.2,117
2025-11-27T15:04:31.338,6,1215,596,1245.1949152542372,577.0677966101695,,,,,30,-18,,,,,27.34,118
2025-11-27T15:04:37.747,12,426,364,430.7310924369748,330.74789915966386,,,,,4,-33,,,,,40.11,119
2025-11-27T15:04:44.154,8,163,1060,252.11864406779662,948.957627118644,,,,,89,-111,,,,,59.97,118
2025-11-27T15:04:50.557,10,1215,1060,1252.0756302521008,995.8403361344538,,,,,37,-64,,,,,32.3,119
2025-11-27T15:04:56.967,3,1741,132,1721.605504587156,92.56880733944953,,,,,-19,-39,,,,,61.38,109
2025-11-27T15:05:03.372,9,689,1060,729.4166666666666,1044.125,,,,,40,-15,,,,,33.4,120
2025-11-27T15:05:09.777,5,689,596,705.9915254237288,573.5084745762712,,,,,16,-22,,,,,55.6,118
