timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples
2025-11-18T12:39:53.525,0,163,132,155.95652173913044,153.08695652173913,,,,,-7,21,,,,,39.26,115
2025-11-18T12:39:59.940,11,1741,1060,1721.1416666666667,1077.0166666666667,,,,,-19,17,,,,,82.21,120
2025-11-18T12:40:06.335,4,163,596,146.85714285714286,594.5882352941177,,,,,-16,-1,,,,,32.44,119
2025-11-18T12:40:25.509,12,426,364,408.89473684210526,368.93859649122805,,,,,-17,4,,,,,32.17,114
2025-11-18T12:40:31.901,16,952,828,906.3508771929825,815.640350877193,,,,,-45,-12,,,,,51.9,114
2025-11-18T12:40:38.305,8,163,1060,121.61344537815125,1040.1596638655462,,,,,-41,-19,,,,,45.31,119
2025-11-18T12:40:44.695,10,1215,1060,1203.7058823529412,1059.1764705882354,,,,,-11,0,,,,,60.43,119
2025-11-18T12:40:51.085,6,1215,596,1237.4416666666666,604.7083333333334,,,,,22,8,,,,,56.98,120
2025-11-18T12:40:57.475,17,1478,828,1478.1344537815125,809.3361344537815,,,,,0,-18,,,,,84.1,119
2025-11-18T12:41:03.870,14,1478,364,1491.4786324786326,344.7435897435897,,,,,13,-19,,,,,52.41,117
2025-11-18T12:41:10.275,9,689,1060,625.3025210084033,995.7226890756302,,,,,-63,-64,,,,,50.94,119
2025-11-18T12:41:16.665,5,689,596,661.781512605042,585.6722689075631,,,,,-27,-10,,,,,36.64,119
2025-11-18T12:41:23.056,7,1741,596,1788.0666666666666,536.5416666666666,,,,,47,-59,,,,,54.87,120
2025-11-18T12:41:29.445,3,1741,132,1770.453781512605,118.0672268907563,,,,,29,-13,,,,,77.46,119
2025-11-18T12:41:35.835,13,952,364,913.8305084745763,362.6271186440678,,,,,-38,-1,,,,,41.3,118
2025-11-18T12:41:42.230,1,689,132,652.6583333333333,162.325,,,,,-36,30,,,,,52.3,120
2025-11-18T12:41:48.635,2,1215,132,1231.75,81.38333333333334,,,,,16,-50,,,,,64.74,120
2025-11-18T12:41:55.023,15,426,828,371.21008403361344,798.3613445378152,,,,,-54,-29,,,,,46.02,119
