x,y
1764718602.426685,962,332
1764718602.4518878,956,330
1764718602.487364,953,328
1764718602.5176942,952,336
1764718602.5468912,954,339
1764718602.5773585,978,337
1764718602.608473,966,336
1764718602.6432078,969,337
1764718602.6722536,978,345
1764718602.7020516,979,344
1764718602.7327008,971,329
1764718602.7619376,961,318
1764718602.8026507,958,306
1764718602.8324792,956,303
1764718602.873146,955,305
1764718602.9018302,970,327
1764718602.932562,973,329
1764718602.966964,971,329
1764718602.9972916,959,327
1764718603.0331118,955,330
1764718603.0693371,961,335
1764718603.1024086,961,346
1764718603.1428258,959,352
1764718603.1673517,959,355
1764718603.2023203,973,355
1764718603.2421107,975,364
1764718603.2770152,980,359
1764718603.3119373,971,351
1764718603.3517764,969,342
1764718603.3823183,969,336
1764718603.412634,973,337
1764718603.4520493,976,342
1764718603.4823358,970,355
1764718603.5121386,965,367
1764718603.5433173,964,366
1764718603.5722477,958,367
1764718603.6025949,954,368
1764718603.6373506,949,363
1764718603.6720276,948,364
1764718603.7022092,938,364
1764718603.7375443,957,367
1764718603.7767932,983,360
1764718603.802312,985,359
1764718603.8373358,970,355
1764718603.87183,960,357
1764718603.902268,952,361
1764718603.943381,947,360
1764718603.9723082,952,374
1764718604.0021772,953,385
1764718604.0421493,957,378
1764718604.072098,955,381
1764718604.1024373,959,380
1764718604.1426914,957,375
1764718604.1720843,956,384
1764718604.2120442,952,378
1764718604.2370994,944,377
1764718604.2726872,937,374
1764718604.3123844,928,368
1764718604.3522103,925,362
1764718604.3885465,921,368
1764718604.4219933,922,370
1764718604.4624245,928,374
1764718604.4918962,932,365
1764718604.522059,936,365
1764718604.5526912,926,356
1764718604.5820854,946,356
1764718604.611916,966,352
1764718604.6422095,955,356
1764718604.6877143,953,354
1764718604.7275774,955,355
1764718604.7521133,965,343
1764718604.7778945,974,343
1764718604.8072922,975,352
1764718604.8474426,974,360
1764718604.8778274,967,357
1764718604.927142,962,351
1764718604.9624023,961,346
1764718604.9878085,964,341
1764718605.0173585,974,334
1764718605.0523734,980,337
1764718605.0828617,976,335
1764718605.1121397,973,334
1764718605.1427262,966,336
1764718605.1819415,970,330
1764718605.2126997,974,332
1764718605.2422035,972,335
1764718605.282956,968,342
1764718605.322817,957,337
1764718605.3574064,957,332
1764718605.387749,958,332
1764718605.4276288,952,329
1764718605.462196,960,330
1764718605.4969738,965,335
1764718605.537859,981,334
1764718605.572128,989,332
1764718605.6120636,978,353
1764718605.637913,955,342
1764718605.672343,955,344
1764718605.7022283,955,349
1764718605.7336347,957,349
1764718605.7625425,964,352
1764718605.7927496,976,356
1764718605.8228068,983,356
1764718605.8623257,991,356
1764718605.892151,993,351
1764718605.9227664,987,351
1764718605.9581087,986,358
1764718605.9880254,986,359
1764718606.0175698,983,349
1764718606.0475438,985,347
1764718606.0825293,997,347
1764718606.117944,999,355
1764718606.1575162,997,359
1764718606.1879773,991,362
1764718606.22301,978,363
1764718606.2534127,972,363
1764718606.282695,972,362
1764718606.3177087,960,355
1764718606.352895,957,343
1764718606.3827543,959,341
