x,y
926,747
918,736
904,711
897,715
915,735
914,730
904,736
906,741
905,751
919,752
934,769
938,774
937,773
938,766
946,772
939,770
943,771
929,756
918,736
918,732
927,729
934,738
931,732
922,725
928,723
928,717
918,728
934,733
926,739
917,765
912,772
916,771
912,775
921,785
934,767
936,760
930,743
921,745
917,742
934,720
944,706
927,696
924,668
927,661
930,679
933,677
935,674
927,659
920,665
921,653
930,665
936,607
934,601
936,577
948,657
933,706
929,726
933,737
932,745
929,752
927,747
931,743
921,755
918,766
918,751
922,754
924,749
921,761
918,756
912,753
906,735
911,708
913,715
920,747
926,768
927,758
925,731
930,728
929,733
933,738
938,744
947,758
948,771
941,775
933,780
925,774
914,771
932,773
939,778
942,774
950,763
952,780
958,781
956,785
959,778
965,776
957,778
955,779
957,776
964,759
961,762
955,759
946,750
936,731
919,717
931,732
932,738
920,754
903,755
897,756
895,756
910,761
928,766
922,765
920,758
922,773
923,764
917,765
923,736
