x,y
656,598
678,616
687,623
695,637
696,619
704,614
698,609
696,600
710,613
686,600
669,617
663,615
660,627
647,632
644,626
658,617
660,616
662,601
667,607
650,604
634,595
628,601
639,597
650,594
690,581
657,582
649,563
640,551
646,556
662,540
663,535
659,529
651,536
655,538
640,542
627,525
633,528
652,537
652,542
653,566
641,577
630,573
625,564
628,554
635,551
642,559
649,562
661,567
672,574
683,578
685,587
684,594
680,591
657,599
645,592
647,582
657,555
666,552
672,551
674,553
686,561
681,572
669,575
658,567
653,550
675,550
690,556
691,551
688,546
694,554
699,568
691,574
684,576
675,573
667,565
659,559
642,562
623,562
616,555
615,558
623,569
620,608
651,620
679,624
686,612
671,614
653,601
651,597
638,593
655,585
678,580
691,584
721,594
730,592
731,613
729,615
723,594
708,553
693,537
691,543
711,562
713,562
705,581
711,583
711,588
714,594
720,603
730,609
734,612
725,611
715,613
714,621
726,621
729,609
727,601
729,582
711,570
691,557
690,557
