x,y
1764716053.4208407,1723,724
1764716053.4553232,1715,726
1764716053.4958203,1717,720
1764716053.5201147,1712,723
1764716053.5500233,1715,723
1764716053.5953903,1706,740
1764716053.634686,1703,748
1764716053.6602497,1696,751
1764716053.6896856,1733,774
1764716053.7201974,1752,868
1764716053.7603128,1762,860
1764716053.7946837,1757,848
1764716053.8305948,1758,831
1764716053.8650243,1756,823
1764716053.8902621,1762,822
1764716053.925087,1782,830
1764716053.9602923,1783,855
1764716054.0000823,1699,1097
1764716054.03551,1740,1296
1764716054.0606205,1778,1247
1764716054.0899298,1787,1220
1764716054.1259189,1782,1191
1764716054.1606264,1777,1189
1764716054.1956882,1785,1209
1764716054.219894,1786,1217
1764716054.2547302,1780,1215
1764716054.290642,1782,1211
1764716054.3198957,1734,1185
1764716054.3506365,1742,1186
1764716054.3853362,1749,1183
1764716054.4198246,1739,1181
1764716054.4604077,1734,1176
1764716054.4910398,1732,1161
1764716054.5203958,1737,1146
1764716054.5554686,1564,1005
1764716054.5901995,1201,688
1764716054.6254904,1214,614
1764716054.655232,1179,624
1764716054.6897612,1144,618
1764716054.7256181,1117,577
1764716054.755743,1115,573
1764716054.790078,1115,577
1764716054.8252406,1115,563
1764716054.8551228,1105,563
1764716054.8956912,902,518
1764716054.9357653,715,429
1764716054.9854302,732,375
1764716055.0204508,740,420
1764716055.055252,726,406
1764716055.095585,713,393
1764716055.1297789,702,405
1764716055.1646743,699,411
1764716055.210384,704,407
1764716055.2498043,597,360
1764716055.289715,496,249
1764716055.309939,511,227
1764716055.3407037,512,230
1764716055.3706548,499,217
