timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples
2025-12-02T14:54:19.399,3,1741,132,1670.4271844660195,169.2233009708738,,,,,-70,37,,,,,29.83,103
2025-12-02T14:54:25.791,4,163,596,218.21008403361344,571.6974789915967,,,,,55,-24,,,,,30.63,119
2025-12-02T14:54:32.198,13,952,364,887.6083333333333,339.06666666666666,,,,,-64,-24,,,,,22.71,120
2025-12-02T14:54:38.601,17,1478,828,1439.3697478991596,806.5042016806723,,,,,-38,-21,,,,,31.59,119
2025-12-02T14:54:44.991,6,1215,596,1172.0666666666666,525.2583333333333,,,,,-42,-70,,,,,24.42,120
2025-12-02T14:54:51.391,5,689,596,672.1260504201681,558.2521008403361,,,,,-16,-37,,,,,29.76,119
2025-12-02T14:54:57.792,7,1741,596,1650.3666666666666,542.7666666666667,,,,,-90,-53,,,,,40.93,120
2025-12-02T14:55:04.198,16,952,828,921.7166666666667,780.0,,,,,-30,-48,,,,,29.88,120
2025-12-02T14:55:10.602,2,1215,132,1084.6666666666667,99.35,,,,,-130,-32,,,,,22.75,120
2025-12-02T14:55:16.993,0,163,132,146.75423728813558,155.75423728813558,,,,,-16,23,,,,,17.06,118
2025-12-02T14:55:23.392,14,1478,364,1384.0420168067226,342.2268907563025,,,,,-93,-21,,,,,22.29,119
2025-12-02T14:55:29.793,9,689,1060,664.8559322033898,985.4322033898305,,,,,-24,-74,,,,,39.59,118
2025-12-02T14:55:36.198,1,689,132,602.7881355932203,102.46610169491525,,,,,-86,-29,,,,,21.52,118
2025-12-02T14:55:42.603,11,1741,1060,1639.7563025210084,1087.8823529411766,,,,,-101,27,,,,,31.49,119
2025-12-02T14:55:48.996,8,163,1060,182.0672268907563,999.5714285714286,,,,,19,-60,,,,,29.41,119
2025-12-02T14:55:55.411,15,426,828,385.725,780.525,,,,,-40,-47,,,,,26.93,120
2025-12-02T14:56:01.808,12,426,364,352.9406779661017,328.9237288135593,,,,,-73,-35,,,,,35.94,118
2025-12-02T14:56:08.223,10,1215,1060,1158.7478991596638,1009.8487394957983,,,,,-56,-50,,,,,22.6,119
