x,y
1764716113.015652,128,164
1764716113.0500991,122,163
1764716113.0798244,120,156
1764716113.1102688,120,156
1764716113.1401258,124,153
1764716113.1756983,132,156
1764716113.205272,143,155
1764716113.2398498,153,162
1764716113.2756243,155,166
1764716113.3005958,150,172
1764716113.3304493,153,169
1764716113.3658693,159,161
1764716113.4062557,172,164
1764716113.430455,165,153
1764716113.465159,166,162
1764716113.5000896,155,165
1764716113.530008,155,164
1764716113.5655377,161,156
1764716113.600392,166,158
1764716113.6342282,164,156
1764716113.669863,157,154
1764716113.7098324,164,160
1764716113.7457135,173,153
1764716113.7703798,159,149
1764716113.8048446,149,150
1764716113.842499,143,151
1764716113.8755214,144,156
1764716113.9053948,144,157
1764716113.9346719,144,163
1764716113.9655726,138,165
1764716114.0049164,143,165
1764716114.0356848,156,158
1764716114.0655491,164,154
1764716114.1108544,167,159
1764716114.1352086,164,152
1764716114.1747298,166,154
1764716114.2057087,158,152
1764716114.2496629,147,147
1764716114.2905643,147,146
1764716114.3157613,158,166
1764716114.3453531,132,148
1764716114.3804424,123,140
1764716114.410875,139,146
1764716114.4404252,150,152
1764716114.4703016,143,159
1764716114.5056422,131,160
1764716114.5460544,127,163
1764716114.5702686,132,153
1764716114.605618,134,147
1764716114.639947,149,150
1764716114.6699467,145,159
1764716114.7096932,137,165
1764716114.7406049,141,172
1764716114.784844,153,178
1764716114.8156414,153,167
1764716114.8504746,144,159
1764716114.87987,141,153
1764716114.9205277,146,146
1764716114.9606493,155,152
1764716115.0049205,143,140
1764716115.0503855,144,140
1764716115.0753143,150,150
1764716115.1248274,153,153
1764716115.1655278,147,146
1764716115.1953564,144,145
1764716115.2252977,144,148
1764716115.254991,142,144
1764716115.28539,144,148
1764716115.3247015,136,140
1764716115.3492243,128,124
1764716115.3851678,133,133
1764716115.4157307,133,140
1764716115.4455864,143,156
1764716115.4756818,147,156
1764716115.5105505,149,162
1764716115.5456982,147,160
1764716115.5749016,144,163
1764716115.6149113,143,170
1764716115.645059,142,166
1764716115.680353,142,160
1764716115.7098422,142,162
1764716115.7452993,138,162
1764716115.7852428,138,161
1764716115.8100967,138,159
1764716115.8452184,140,163
1764716115.8846586,142,166
1764716115.9152842,143,178
1764716115.9452643,144,187
1764716115.979767,141,178
1764716116.015627,126,147
1764716116.0501642,122,134
1764716116.089809,130,142
1764716116.1263103,142,152
1764716116.1707563,158,163
1764716116.2147405,167,167
1764716116.2369738,169,168
1764716116.2701778,165,165
1764716116.3101573,164,173
1764716116.3348436,159,170
1764716116.3648121,161,159
1764716116.39604,165,160
1764716116.4249728,168,157
1764716116.455711,163,161
1764716116.4848201,158,159
1764716116.5202298,160,159
1764716116.55015,168,161
1764716116.5850844,168,161
1764716116.6150897,154,168
1764716116.6450171,146,161
1764716116.6855857,138,149
1764716116.7149668,133,143
1764716116.7499578,134,141
1764716116.7855372,133,138
1764716116.815686,135,132
1764716116.8509936,136,122
1764716116.8859212,132,121
1764716116.915596,139,145
1764716116.95525,137,150
