timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples,sim_rbf_gaze_x,sim_rbf_gaze_y,sim_pwa_gaze_x,sim_pwa_gaze_y,sim_gpr_gaze_x,sim_gpr_gaze_y,subject_name,distance,is_outlier
2025-11-07T14:22:56.130,20,689,1060,684.3818181818182,1006.1,683,1053,698,1082,-4,-53,-6,-7,9,22,37.82,110,698.7234731606216,1062.6941378519932,700.7271262035334,1060.0,684.0854292913359,1067.694736953865,subject_001,54.09748241189956,False
2025-11-07T14:23:15.347,0,163,132,96.89090909090908,125.02727272727272,122,152,174,133,-66,-6,-41,20,11,1,61.28,110,150.03747743190286,145.3837758003803,163.0,132.0,144.74321979556186,155.60859934212917,subject_001,66.4757912810843,False
2025-11-07T14:23:28.159,7,1215,1060,1218.3,1030.0454545454545,1240,1114,1257,1096,3,-29,25,54,42,36,22.59,110,1261.9876760482225,1086.9794616768306,1259.8925697585232,1060.0,1260.2393435583697,1125.385370983474,subject_001,30.135772652919183,False
2025-11-07T14:23:40.970,1,1741,1060,1727.2454545454543,1037.0272727272727,1802,1031,1802,1061,-13,-22,61,-29,61,1,30.77,110,1793.2150697892212,1039.9657803423277,1741.0,1060.0,1807.2867873149405,1027.2405028279038,subject_001,26.7756179948899,False
2025-11-07T14:23:47.377,5,163,596,80.11009174311927,587.8899082568807,105,606,132,597,-82,-8,-58,10,-31,1,49.58,109,125.74472027353391,618.4640579485131,163.0,596.0,130.2905094123713,612.0423164828736,subject_001,83.2857159356628,False
2025-11-07T14:24:12.999,13,689,132,621.5446428571429,165.04464285714286,661,155,672,142,-67,33,-28,23,-17,10,50.81,112,684.5036425844863,125.64817349664916,694.9429524495403,142.61017211862617,693.1432782166595,137.61497590624953,subject_001,75.11440360427903,False
2025-11-07T14:24:32.214,9,952,364,873.3603603603603,418.8378378378378,905,391,918,382,-78,54,-47,27,-34,18,47.28,111,924.6452127317,365.66810887214376,927.6323843069854,365.62410243530223,932.8124846249476,353.5605130653205,subject_001,95.8716922839134,False
2025-11-07T14:24:45.028,6,163,1060,35.25688073394495,1073.788990825688,61,1111,23,1158,-127,13,-102,51,-140,98,88.25,109,65.3153588064084,1143.5123675030954,163.0,1060.0,74.7531958239121,1125.0396306127195,subject_001,128.48517730778312,False
2025-11-07T14:24:51.437,10,1478,364,1411.5405405405406,493.14414414414415,1423,438,1454,413,-66,129,-55,74,-24,49,51.95,111,1448.9020158845822,414.80157505695655,1427.4169477984694,391.0145633941826,1439.6906207417185,390.54339117248855,subject_001,145.24141874261284,False
2025-11-07T14:51:31.483,15,952,828,1017.2033898305084,751.5932203389831,1014,866,976,871,65,-76,62,38,24,43,23.94,118,988.2825116511456,875.4379204697478,1005.1198184413348,915.5142869616318,982.8683087940984,881.8317791458159,subject_001,100.44639378074471,False
2025-11-07T14:51:44.292,14,689,596,734.0854700854701,538.3675213675214,680,581,682,599,45,-57,-9,-15,-7,3,38.08,117,686.3769023199194,614.2630323517122,668.667691694556,597.2040101448777,685.191675754859,622.3587501872083,subject_001,73.17241424301186,False
2025-11-07T14:52:03.511,5,1741,132,1682.6260869565217,186.6782608695652,1662,176,1648,113,-58,54,-79,44,-93,-19,30.75,115,1674.5878212618002,155.9116473117478,1657.7319089983228,160.7553884911217,1667.1440383127222,153.5365624958465,subject_001,79.98266021912369,False
2025-11-07T14:52:16.309,12,689,1060,729.2735042735043,920.9401709401708,689,996,669,1041,40,-139,0,-64,-20,-19,64.31,117,686.5643513875168,1037.1417218040458,668.7556552420799,1019.323780977282,678.9142522498645,1040.6701883999394,subject_001,144.77427673663885,False
2025-11-07T14:52:22.711,13,163,596,115.4957264957265,597.4188034188035,118,594,118,586,-47,1,-45,-2,-45,-10,53.37,117,104.49857989619994,606.8172549135635,163.0,596.0,106.7397805670464,609.319447134614,subject_001,47.525456381922616,False
2025-11-07T14:52:29.121,19,952,364,919.5909090909092,353.6818181818182,862,392,863,393,-32,-10,-90,28,-89,29,43.46,110,868.9143264545609,392.29931899007,861.5389580332011,389.7676578757358,863.7813414472138,393.5226052756713,subject_001,34.011969210658286,False
2025-11-07T14:52:54.744,18,1741,596,1718.940170940171,572.7692307692307,1789,571,1782,595,-22,-23,48,-25,41,-1,37.49,117,1764.0996398326947,615.0916715845603,1741.0,596.0,1765.3902665238124,612.6753094969434,subject_001,32.03599065429595,False
2025-11-07T14:53:01.151,4,1215,1060,1218.2931034482758,946.9568965517242,1221,1076,1221,1123,3,-113,6,16,6,63,25.46,116,1228.6912079280394,1098.6902359354258,1215.0,1060.0,1229.2946061242642,1107.5467623814316,subject_001,113.09105962691584,False
2025-11-07T14:53:13.960,6,1215,132,1213.4102564102564,171.0940170940171,1195,139,1148,167,-1,39,-20,7,-67,35,44.3,117,1169.5748725916833,145.26347298802477,1176.7425500129336,132.0,1160.137015843632,140.38650753741967,subject_001,39.12632690693609,False
2025-11-07T15:44:09.367,1,1215,596,1188.871794871795,614.6068376068376,1205,638,1212,647,-26,18,-10,42,-3,51,37.73,117,1201.7395021274558,647.5018193899805,1213.763656077088,642.6589269721082,1206.481899073719,647.5182337251388,subject_001,32.07643229769779,False
2025-11-07T15:44:54.211,19,163,596,138.11304347826086,567.7304347826087,177,613,168,624,-24,-28,14,17,5,28,31.54,115,169.3676383319069,623.4556107276504,183.87520396429304,624.4562680209036,185.88898340605596,621.5464035908657,subject_001,37.66336313309363,False
2025-11-07T15:45:00.615,15,1741,596,1717.2654867256638,644.3008849557522,1697,648,1709,652,-23,48,-44,52,-32,56,39.72,113,1710.298722764395,648.8327701901877,1693.2970168552135,649.2235536848567,1691.5767043035598,648.2231551661604,subject_001,53.81730769816016,False
2025-11-07T15:45:07.022,18,689,132,655.3660714285714,157.08035714285714,682,144,693,151,-33,25,-7,12,4,19,37.49,112,686.718626588992,151.147606742636,692.1926719655679,134.39703385573648,692.100997862957,150.02646812509417,subject_001,41.9555177010274,False
2025-11-07T15:45:13.428,3,952,364,879.5726495726495,331.05982905982904,917,332,920,337,-72,-32,-35,-32,-32,-27,47.33,117,914.647566571796,334.07848979108974,922.870753221611,332.6333612393032,924.7658744707932,331.9701081079126,subject_001,79.5661734124113,False
