timestamp,target_index,target_x,target_y,gaze_x,gaze_y,dx,dy,spread,n_samples
2025-10-16T20:40:15.176,10,1398,462,1394,532,-3,69,30.49,119
2025-10-16T20:40:21.606,6,208,462,157,493,-51,30,40.48,119
2025-10-16T20:40:28.010,17,1695,730,1677,742,-18,11,54.79,119
2025-10-16T20:40:34.409,11,1695,462,1707,506,11,43,35.87,119
2025-10-16T20:40:40.828,8,803,462,842,434,39,-27,51.29,119
2025-10-16T20:40:47.223,4,1398,194,1445,222,46,27,26.66,119
2025-10-16T20:40:53.642,0,208,194,218,152,9,-41,31.7,120
2025-10-16T20:41:00.035,15,1100,730,1114,708,13,-21,43.13,120
2025-10-16T20:41:06.433,9,1100,462,1132,466,31,3,40.72,120
2025-10-16T20:41:12.851,20,803,998,819,908,15,-89,53.38,120
2025-10-16T20:41:19.270,21,1100,998,1131,947,30,-50,34.54,120
2025-10-16T20:41:25.682,12,208,730,248,682,39,-48,45.62,119
2025-10-16T20:41:32.092,14,803,730,830,681,26,-49,34.83,120
2025-10-16T20:41:38.497,22,1398,998,1385,952,-12,-46,46.68,120
2025-10-16T20:41:44.915,19,506,998,531,928,25,-69,50.98,120
2025-10-16T20:41:51.342,16,1398,730,1424,700,26,-29,39.97,119
2025-10-16T20:41:57.743,1,506,194,532,174,26,-19,44.71,119
2025-10-16T20:42:04.153,7,506,462,542,443,35,-18,39.99,119
2025-10-16T20:42:10.564,18,208,998,256,955,46,-43,56.41,118
2025-10-16T20:42:16.976,13,506,730,526,658,20,-72,42.13,119
2025-10-16T20:42:23.409,5,1695,194,1701,235,5,40,33.13,118
2025-10-16T20:42:29.809,3,1100,194,1144,218,43,24,29.54,120
2025-10-16T20:42:36.226,2,803,194,862,160,58,-33,36.57,120
2025-10-16T20:42:42.642,23,1695,998,1663,1028,-31,30,40.92,119
