model,mean_error,variance
similarity,57.473564753642194,1919.3783594707634
poly,54.06535949454429,2089.0624452903303
"rbf[thin_plate,s=1.0]",54.17607033351601,2107.553949935391
"rbf[multiquadric,s=0.0]",55.55820862498319,2241.892774152579
"rbf[multiquadric,s=1.0]",74.42165117823465,2598.0813843731034
"rbf[multiquadric,s=2.0]",109.6694522284251,6078.913883673986
tps,53.841730967268774,1970.6974543265123
pwa,65.13850942297837,5944.4151158855375
gpr,51.34132361431163,1396.9434277263251
"sim+rbf[thin_plate,s=1.0]",54.03220505957754,2061.3320768663566
"sim+rbf[multiquadric,s=0.0]",55.85627462287974,2454.5167774786623
"sim+rbf[multiquadric,s=1.0]",49.49856205154943,1443.4816715495538
"sim+rbf[multiquadric,s=2.0]",49.807012731306145,1448.9858693083881
sim+tps,53.841730991564226,1970.697465707283
sim+pwa,65.13850942297837,5944.415115885538
sim+gpr,51.701686067533224,1567.1448848450134
