model,mean_error,variance
similarity,61.293601210033,1991.1526943320027
poly,65.33551913753391,2687.7048606859476
"rbf[thin_plate,s=1.0]",65.0243003757718,3126.1079946045443
"rbf[multiquadric,s=0.0]",73.77351922473748,2296.5584802057087
"rbf[multiquadric,s=1.0]",133.73847192560476,5989.71185313864
"rbf[multiquadric,s=2.0]",217.90824940878784,18969.85707848759
tps,57.82826587374446,2032.3515717033397
pwa,84.44574322593253,10488.125389834102
gpr,212.604169636932,19082.457853468404
"sim+rbf[thin_plate,s=1.0]",58.49106918410599,2073.777540480639
"sim+rbf[multiquadric,s=0.0]",58.60740771394268,2062.518291971486
"sim+rbf[multiquadric,s=1.0]",55.62657756648621,1682.4984269168754
"sim+rbf[multiquadric,s=2.0]",56.69682034123255,1713.1048100400856
sim+tps,57.82826587645319,2032.3515720040637
sim+pwa,84.44574322593255,10488.125389834098
sim+gpr,58.49479857743892,1893.7945600245982
