x,y
399,703
398,712
386,737
386,716
395,710
398,706
402,716
404,721
403,715
403,721
392,733
384,733
375,727
376,726
388,726
397,728
387,724
389,711
395,713
403,703
394,687
384,688
386,720
380,709
383,717
385,722
385,721
383,721
385,726
385,727
389,727
399,748
404,727
413,723
418,722
414,720
413,710
412,693
403,692
391,692
387,715
391,721
397,718
385,712
386,708
387,695
379,678
380,660
387,672
397,693
376,697
378,692
369,696
361,684
364,678
357,689
341,688
338,690
340,685
348,673
356,677
371,685
378,672
390,664
392,679
392,698
395,716
392,722
389,712
373,691
371,687
369,687
356,679
348,675
350,693
348,691
345,684
346,681
352,673
366,679
370,681
366,678
371,694
379,706
378,711
378,703
383,705
370,712
337,710
329,701
332,702
337,700
332,706
334,704
335,710
347,707
349,696
357,696
367,699
360,689
346,674
322,664
333,683
332,682
334,673
347,663
342,684
333,700
330,691
317,659
326,660
328,658
