x,y
215,142
230,130
249,143
273,160
288,147
287,144
290,167
260,182
239,175
230,169
230,162
237,150
245,145
259,149
272,156
260,155
248,148
246,150
234,152
215,145
204,136
197,116
208,101
199,112
188,122
206,115
205,118
215,112
211,108
222,100
221,104
228,112
223,109
214,103
194,98
182,90
176,92
192,90
214,88
205,81
197,76
195,90
198,100
217,109
209,103
204,89
199,73
183,63
160,73
149,84
143,107
149,120
156,123
173,125
193,95
192,84
168,92
159,109
158,97
149,82
160,74
137,103
151,112
147,113
134,130
121,150
118,158
116,134
123,117
150,110
172,103
179,93
181,103
178,105
155,132
145,155
153,160
155,158
163,137
186,129
203,105
199,99
189,99
191,97
172,93
162,102
143,105
158,117
168,118
171,103
185,97
176,81
180,76
177,78
179,135
191,147
186,165
177,173
169,187
175,180
179,179
180,180
175,170
174,179
174,183
162,185
171,193
178,197
178,179
191,148
210,133
233,135
245,136
235,127
240,121
241,153
205,153
166,139
155,131
167,122
