timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,spread,n_sample
2025-10-16T20:22:49.930,18,208,998,141.51724137931035,1000.6896551724138,47.731811222872466,29
2025-10-16T20:22:56.361,9,1100,462,1078.655172413793,498.0,23.18185357807052,29
2025-10-16T20:23:02.757,4,1398,194,1415.896551724138,231.0344827586207,29.762076756198564,29
2025-10-16T20:23:09.161,16,1398,730,1373.2068965517242,686.0344827586207,25.773365119514928,29
2025-10-16T20:23:15.586,6,208,462,215.53333333333333,437.1,40.09329398069236,30
2025-10-16T20:23:22.003,5,1695,194,1661.0344827586207,240.13793103448276,25.674631107784364,29
2025-10-16T20:23:28.415,21,1100,998,1102.8275862068965,872.6206896551724,22.274901228343563,29
2025-10-16T20:23:34.836,8,803,462,829.4137931034483,380.9310344827586,50.566070316970766,29
2025-10-16T20:23:41.270,3,1100,194,1141.0689655172414,211.6206896551724,26.16966502307086,29
2025-10-16T20:23:47.695,17,1695,730,1619.9666666666667,663.3666666666667,33.58567816462514,30
2025-10-16T20:23:54.094,15,1100,730,1065.2,662.5333333333333,39.40062041248702,30
2025-10-16T20:24:00.504,11,1695,462,1669.7931034482758,494.2413793103448,32.32169601511805,29
2025-10-16T20:24:06.936,10,1398,462,1408.6206896551723,491.3448275862069,21.2110733201128,29
2025-10-16T20:24:13.351,14,803,730,793.3448275862069,652.0344827586207,46.83114099553965,29
2025-10-16T20:24:19.783,23,1695,998,1624.1666666666667,958.1,28.336588048355825,30
2025-10-16T20:24:26.205,20,803,998,766.1724137931035,900.551724137931,25.382121283614644,29
2025-10-16T20:24:32.604,12,208,730,234.06896551724137,689.7931034482758,35.87267747601863,29
2025-10-16T20:24:39.010,13,506,730,542.0344827586207,641.6896551724138,39.098978033118016,29
2025-10-16T20:24:45.425,1,506,194,555.1724137931035,140.31034482758622,30.756185151757354,29
2025-10-16T20:24:51.838,0,208,194,235.4,140.36666666666667,35.84883385675033,30
2025-10-16T20:24:58.272,7,506,462,485.82758620689657,430.48275862068965,37.24077266427994,29
2025-10-16T20:25:04.677,19,506,998,506.3448275862069,939.2413793103449,52.513335603170596,29
2025-10-16T20:25:11.097,2,803,194,848.3,180.0,23.74608739701483,30
2025-10-16T20:25:17.506,22,1398,998,1333.1785714285713,888.4285714285714,18.062356559701612,28
