x,y
1403,455
1403,460
1397,483
1389,485
1381,472
1382,473
1406,489
1425,491
1429,477
1406,462
1413,472
1417,490
1417,488
1411,484
1410,495
1407,506
1403,517
1402,513
1401,507
1406,495
1423,510
1416,527
1414,522
1418,509
1415,487
1420,487
1417,495
1406,504
1413,494
1430,492
1432,480
1419,488
1435,487
1420,484
1420,491
1421,492
1418,500
1410,509
1427,505
1425,469
1416,445
1394,450
1388,458
1394,466
1401,455
1396,448
1388,463
1396,464
1410,452
1413,449
1402,431
1394,445
1392,468
1398,470
1403,447
1412,447
1411,463
1424,482
1438,485
1456,490
1477,490
1468,501
1452,518
1432,512
1417,495
1409,492
1407,490
1404,491
1414,503
1414,509
1409,509
1414,496
1405,486
1393,481
1392,480
1389,471
1404,469
1403,455
1402,452
1389,460
1392,468
1390,470
1398,469
1399,473
1401,475
1401,482
1401,485
1405,490
1409,494
1409,476
1402,462
1399,461
1392,459
1379,463
1379,459
1384,463
1388,462
1399,475
1397,491
1408,496
1405,498
1405,489
1399,491
1405,485
1406,490
1408,492
1399,494
1390,488
1392,478
1394,469
1400,463
1399,461
1394,459
1415,449
1422,437
1408,433
1391,449
1382,460
