model,mean_error,variance
similarity,57.856316465814714,1859.5973325466343
poly,53.69856333382158,1603.163888706302
"rbf[thin_plate,s=1.0]",55.41681418791584,2064.5751936891024
"rbf[multiquadric,s=0.0]",62.203066883362936,3148.5909407154677
"rbf[multiquadric,s=1.0]",95.12035982768265,3230.5405040987753
"rbf[multiquadric,s=2.0]",137.06202186757014,6910.2692348514975
tps,55.224496387677775,1971.7726244741616
pwa,67.78179373317823,6451.156668144974
gpr,64.49091096586422,2465.268616308802
"sim+rbf[thin_plate,s=1.0]",55.36616045203953,2026.8561460780963
"sim+rbf[multiquadric,s=0.0]",58.68350610448356,3278.9845108658765
"sim+rbf[multiquadric,s=1.0]",51.07278347912882,1463.35546831764
"sim+rbf[multiquadric,s=2.0]",51.90212148329109,1496.9890177646141
sim+tps,55.2244964146759,1971.7726341526622
sim+pwa,67.78179373317823,6451.156668144974
sim+gpr,54.325333472449714,1649.6935126360718
