timestamp,target_index,target_x,target_y,orginal_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples
2025-10-19T12:42:04.506,7,1621,596,1598.0588235294117,586.3529411764706,,,,,-22,-9,,,,,41.72,119
2025-10-19T12:42:10.908,5,729,596,726.7264957264957,602.3504273504274,,,,,-2,6,,,,,46.62,117
2025-10-19T12:42:17.316,2,1175,238,1191.18487394958,248.00840336134453,,,,,16,9,,,,,35.8,119
2025-10-19T12:42:23.725,10,1175,953,1188.0084033613446,901.8739495798319,,,,,13,-51,,,,,42.59,119
2025-10-19T12:42:30.130,4,283,596,304.88235294117646,569.1008403361344,,,,,21,-26,,,,,26.35,119
2025-10-19T12:42:36.534,3,1621,238,1618.5966386554621,251.9327731092437,,,,,-2,13,,,,,32.62,119
2025-10-19T12:42:42.943,6,1175,596,1165.5299145299145,556.2478632478633,,,,,-9,-39,,,,,35.93,117
2025-10-19T12:42:49.354,0,283,238,296.771186440678,207.61016949152543,,,,,13,-31,,,,,33.95,118
2025-10-19T12:42:55.762,11,1621,953,1570.0588235294117,895.5546218487395,,,,,-50,-57,,,,,40.45,119
2025-10-19T12:43:02.180,1,729,238,735.9,225.3,,,,,6,-13,,,,,41.78,120
2025-10-19T12:43:08.575,9,729,953,728.6083333333333,875.9583333333334,,,,,0,-77,,,,,44.93,120
2025-10-19T12:43:14.991,8,283,953,300.85,890.4333333333333,,,,,17,-62,,,,,35.3,120
