x,y
756,558
768,561
781,564
778,563
778,563
768,573
764,580
761,574
759,573
744,569
734,572
733,578
743,590
739,590
722,604
699,625
691,636
682,657
678,668
696,673
726,670
745,663
748,644
740,633
735,631
724,633
727,635
736,627
750,625
761,602
760,596
766,599
779,589
782,578
770,588
764,621
753,633
726,642
717,647
718,648
730,644
744,642
708,620
709,609
716,604
716,596
718,599
723,617
724,626
728,636
729,642
726,639
730,634
726,613
718,594
717,602
712,605
714,605
721,605
727,610
724,610
719,620
737,651
768,645
788,622
750,627
734,624
730,616
737,597
731,588
735,567
756,557
782,562
783,556
786,552
777,551
773,556
759,583
740,614
722,633
695,642
690,631
662,624
664,621
692,631
709,632
711,634
695,627
701,628
720,623
732,621
725,623
704,618
686,617
659,609
639,609
642,612
642,598
651,582
665,571
682,559
691,568
694,567
702,580
709,573
714,566
714,565
710,569
738,573
730,557
729,538
730,533
732,542
729,543
720,548
721,550
730,543
