x,y
282,546
285,538
292,543
292,559
309,585
317,586
302,566
295,552
308,547
318,547
317,546
312,553
309,559
325,575
309,576
296,560
285,557
302,558
312,560
307,566
301,567
287,576
291,579
296,581
289,578
288,559
283,558
280,552
282,552
295,549
302,534
302,521
302,535
302,548
299,542
306,547
305,563
302,559
308,559
314,574
312,571
311,572
301,561
300,564
298,567
309,571
303,572
310,575
317,576
316,573
303,558
293,540
293,534
292,542
291,555
292,559
293,561
290,569
294,577
304,584
309,580
321,579
327,576
332,586
341,596
320,592
312,583
294,577
303,580
318,579
322,582
317,579
308,571
320,568
318,568
308,574
293,580
287,571
271,558
275,554
290,558
268,573
270,588
281,597
281,602
282,606
289,603
298,597
319,589
345,576
356,573
348,573
333,576
331,568
347,570
349,584
347,593
342,594
333,599
327,603
312,616
289,617
282,584
280,562
274,545
281,542
296,564
297,564
315,571
322,569
332,578
339,593
336,598
322,583
299,547
291,549
288,552
286,566
278,575
