x,y
1764367114.7037222,775,169
1764367114.738695,779,151
1764367114.7739944,803,78
1764367114.8087041,827,51
1764367114.840275,809,80
1764367114.8735058,798,85
1764367114.9085252,772,120
1764367114.943911,776,133
1764367114.9840405,766,142
1764367115.0185404,767,140
1764367115.0544126,772,58
1764367115.0937848,752,90
1764367115.1289945,754,98
1764367115.1642158,738,115
1764367115.2000477,731,135
1764367115.2334826,727,158
1764367115.2738514,722,171
1764367115.308974,712,204
1764367115.3491611,706,196
1764367115.3840828,708,206
1764367115.4199097,709,212
1764367115.4537299,715,222
1764367115.4894962,724,225
1764367115.5187407,723,228
1764367115.553907,703,283
1764367115.5941348,717,222
1764367115.6236043,728,217
1764367115.6592708,734,217
1764367115.694138,694,222
1764367115.7285023,678,236
1764367115.7639115,677,226
1764367115.794538,672,223
1764367115.8290734,670,220
1764367115.8639915,667,220
1764367115.8943188,668,220
1764367115.929171,676,222
1764367115.9643147,644,300
1764367115.998577,675,223
1764367116.0391796,674,223
1764367116.0737402,677,233
1764367116.1155953,710,205
1764367116.1490111,674,269
1764367116.1836352,719,210
1764367116.2135804,692,215
1764367116.2491488,692,207
1764367116.2839408,707,209
1764367116.318606,715,202
1764367116.3483071,682,269
1764367116.3841891,697,262
1764367116.4184527,719,198
1764367116.4500787,720,198
1764367116.4840782,712,234
1764367116.523894,676,304
1764367116.5637593,694,297
1764367116.5983477,732,251
1764367116.6333563,751,205
1764367116.6639166,796,142
1764367116.693884,805,99
1764367116.7341228,807,107
1764367116.7636678,796,118
1764367116.8043873,791,140
1764367116.834568,783,174
1764367116.8684173,782,181
1764367116.899203,790,329
1764367116.9342837,774,202
1764367116.9756641,775,208
1764367117.0091171,767,232
1764367117.0385237,762,252
1764367117.0786183,771,233
1764367117.1082702,768,220
1764367117.1486847,791,153
1764367117.1841934,738,165
1764367117.224322,742,168
1764367117.2585618,743,173
1764367117.2986226,745,172
1764367117.3335202,747,169
1764367117.368522,751,174
1764367117.3993316,940,88
1764367117.434107,780,131
1764367117.4736857,975,70
1764367117.5043297,781,131
1764367117.578638,790,139
1764367117.6134143,1135,-92
1764367117.6438162,793,142
1764367117.7140684,782,133
1764367117.7540872,783,133
1764367117.784072,787,132
1764367117.8182895,798,123
1764367117.9199657,757,170
1764367117.9539876,749,149
1764367118.024296,750,145
1764367118.0539386,753,146
1764367118.0890558,753,148
1764367118.1260061,751,153
1764367118.1592374,751,151
1764367118.2292342,751,151
1764367118.2639208,754,150
1764367118.298907,755,151
1764367118.3842106,781,99
1764367118.4183958,783,100
1764367118.489138,787,99
1764367118.5596187,772,87
1764367118.5933077,772,88
1764367118.6591146,776,95
