x,y
1764366986.703782,242,982
1764366986.7383604,242,981
1764366986.7735643,237,986
1764366986.8125188,232,986
1764366986.849119,233,987
1764366986.899469,235,989
1764366986.9741957,237,990
1764366987.0137002,233,991
1764366987.078517,233,988
1764366987.119257,235,985
1764366987.1589446,242,981
1764366987.1937504,242,979
1764366987.2334623,242,977
1764366987.2638,241,971
1764366987.298483,239,970
1764366987.3342187,238,966
1764366987.3641584,254,1012
1764366987.393542,254,1010
1764366987.43924,251,1012
1764366987.4783685,254,1010
1764366987.4990335,254,1006
1764366987.5292087,250,1008
1764366987.563515,251,1009
1764366987.5891776,245,1009
1764366987.6238742,240,1011
1764366987.6533794,243,1010
1764366987.6839216,245,1010
1764366987.7134852,250,1010
1764366987.7438076,245,1011
1764366987.7737894,246,1011
1764366987.813603,243,1011
1764366987.8442483,235,1020
1764366987.8836856,241,1008
1764366987.9138703,238,1009
1764366987.9487534,243,1010
1764366987.978493,242,1013
1764366988.0137916,245,1011
1764366988.0441554,264,997
1764366988.0857618,266,995
1764366988.1140225,265,997
1764366988.1541255,262,997
1764366988.1942205,266,996
1764366988.2340348,270,994
1764366988.2733943,275,992
1764366988.3058977,277,992
1764366988.3336012,277,995
1764366988.364054,279,996
1764366988.3933606,278,995
1764366988.4242792,271,998
1764366988.4537263,263,1001
1764366988.4886363,264,1002
1764366988.518892,261,1003
1764366988.5485735,263,1002
1764366988.5797963,262,1004
1764366988.6184373,269,1013
1764366988.6492474,265,1012
1764366988.688416,266,1015
1764366988.7141752,264,1019
1764366988.748597,265,1014
1764366988.7841983,261,1015
1764366988.8137991,268,1010
1764366988.854367,271,1010
1764366988.8840673,264,1014
1764366988.9141715,263,1012
1764366988.9545164,265,1008
1764366988.9841585,265,999
1764366989.0194798,266,995
1764366989.0541,267,1000
1764366989.0834339,269,999
1764366989.125411,269,1001
1764366989.1541843,266,1007
1764366989.1844528,263,1011
1764366989.2184138,257,1015
1764366989.2584112,244,1032
1764366989.299439,252,1030
1764366989.3382955,259,1018
1764366989.373589,264,1021
1764366989.408957,264,1022
1764366989.439147,264,1021
1764366989.468567,264,1022
1764366989.5041707,262,1023
1764366989.53469,265,1023
1764366989.5633867,269,1021
1764366989.5944495,263,1020
1764366989.6241307,253,1017
1764366989.6583223,251,1012
1764366989.6892908,259,1012
1764366989.718854,264,1009
1764366989.7642815,270,1014
1764366989.7996824,264,1016
1764366989.8240082,264,1013
1764366989.858588,265,1012
1764366989.8889723,265,1010
1764366989.9383755,264,1012
1764366989.978997,266,1019
1764366990.0045545,268,1024
1764366990.0440667,269,1025
1764366990.0793176,268,1024
1764366990.1034346,262,1021
1764366990.1395328,261,1018
1764366990.169458,262,1017
1764366990.2082949,256,1015
1764366990.2338474,255,1016
1764366990.263409,253,1019
1764366990.2938526,254,1019
1764366990.3242302,245,1022
1764366990.363755,248,1020
1764366990.39969,252,1020
1764366990.4439757,257,1017
1764366990.4795487,261,1019
1764366990.513498,261,1019
1764366990.5388465,254,1022
1764366990.5837436,251,1019
1764366990.623862,251,1018
1764366990.645944,249,1019
1764366990.6744714,251,1017
