target_x,target_y,origin_gaze_x,origin_gaze_y,file_prefix,trial_id,point_num,spread,pred_similarity_x,pred_similarity_y,pred_poly_x,pred_poly_y,pred_rbf_multiquadric_s0.0_x,pred_rbf_multiquadric_s0.0_y,pred_rbf_multiquadric_s1.0_x,pred_rbf_multiquadric_s1.0_y,pred_rbf_multiquadric_s2.0_x,pred_rbf_multiquadric_s2.0_y,pred_rbf_thin_plate_s1.0_x,pred_rbf_thin_plate_s1.0_y,pred_tps_x,pred_tps_y,pred_sim_rbf_multiquadric_s0.0_x,pred_sim_rbf_multiquadric_s0.0_y,pred_sim_rbf_multiquadric_s1.0_x,pred_sim_rbf_multiquadric_s1.0_y,pred_sim_rbf_multiquadric_s2.0_x,pred_sim_rbf_multiquadric_s2.0_y,pred_sim_rbf_thin_plate_s1.0_x,pred_sim_rbf_thin_plate_s1.0_y,pred_sim_tps_x,pred_sim_tps_y,pred_pwa_x,pred_pwa_y,pred_sim_pwa_x,pred_sim_pwa_y
704.0,358.0,669.3407854984894,401.12688821752266,1_4,100,1,59.1361228667991,672.5905352562797,400.95480027665997,665.4373683925194,406.6408246421547,704.0009417484894,357.9999961276789,685.4494966740917,403.93670405180814,684.8989603162036,405.1112576250575,709.663874382843,343.97868019540505,709.663874382843,343.97868019540505,704.0014239281547,357.9992949055662,685.4495031762356,403.93670139560015,684.8989779756978,405.111249606838,709.6638744205368,343.97868037094975,709.6638744205368,343.97868037094975,672.5905352562797,400.95480027665997,684.8989779756978,405.111249606838
576.0,563.0,569.8369369369369,568.6807807807808,8_3,85,2,58.58851177157002,574.5677241446953,567.972406166585,567.3266845090376,567.9145059598936,576.0016097884994,562.9995063667183,573.2829546664765,566.7385788563469,573.239549382413,567.228845013933,579.729767249189,560.8952059869652,579.729767249189,560.8952059869652,576.0005854728203,563.000238197835,573.2829554583449,566.7385787117303,573.2395509780611,567.2288447292683,579.7297672989349,560.8952096877413,579.7297672989349,560.8952096877413,574.5677241446953,567.972406166585,573.2395509780611,567.2288447292683
512.0,410.0,485.33843843843835,398.42252252252257,12_2,23,2,68.53846549225915,489.7237500067434,399.21115181282465,480.69400404535685,403.3636860273034,512.0007919540633,410.00015924127257,509.2555180540115,407.24912159977504,507.2285329790614,405.51886115042436,512.0483886471022,410.0373949781195,512.0483886471022,410.0373949781195,512.0003613348683,409.99960396126215,509.25552461669605,407.24911508572285,507.2285450307966,405.5188491569185,512.048387121745,410.03738186195795,512.048387121745,410.03738186195795,489.7237500067434,399.21115181282465,507.2285450307966,405.5188491569185
683.0,546.0,680.5759420289855,555.4742028985507,3_2,51,5,42.825086724300625,684.5472182027253,554.2803019271896,676.2187455642515,557.298765778462,683.0009298219543,546.000142839957,690.6191309339124,559.6293080557522,690.979324731132,559.5077622417672,681.0187665119033,543.3930381808765,681.0187665119033,543.3930381808765,683.0003432027253,545.9996622787521,690.6191318232251,559.6293081504518,690.9793266812202,559.5077624607748,681.0187662831696,543.3930363045738,681.0187662831696,543.3930363045738,684.5472182027253,554.2803019271896,690.9793266812202,559.5077624607748
512.0,546.0,512.9281159420291,524.283768115942,7_3,2,5,73.94090935300385,517.7866730872202,524.1446433078282,510.66239919490573,524.6031565360094,512.0013581295291,546.0019077643796,511.3284966542385,541.2065723539075,510.9306970007865,540.741796199471,511.93907574608716,545.0154046401425,511.93907574608716,545.0154046401425,512.0007844153452,546.0003561984532,511.32849767424636,541.2065716641474,510.9306991824144,540.7417947375544,511.93907569680687,545.0154094707005,511.93907569680687,545.0154094707005,517.7866730872202,524.1446433078282,510.9306991824144,540.7417947375544
320.0,597.0,337.3808695652174,602.4486956521738,5_1,53,5,158.31743591503854,343.736982606179,602.7217406900801,341.2062041719672,593.5126374769194,320.0022074558424,597.0024065896738,319.80731118812355,596.7033027128306,319.883609648052,596.5467467584509,320.0005425789045,596.9983138963449,320.0005425789045,596.9983138963449,320.002607606179,596.9998168619551,319.80730995419117,596.7032882803306,319.8835957626304,596.5466890129993,320.0005450470512,596.9982890757002,320.0005450470512,596.9982890757002,343.736982606179,602.7217406900801,319.8835957626304,596.5466890129993
533.0,768.0,530.9357357357356,724.0576576576577,17_1,94,1,95.20632239343878,536.7065243171228,722.5782084369913,531.8151527961456,712.1287496695878,533.0014095638606,767.9993080482827,532.4774331862158,770.2105559732936,532.7952882510489,769.3233542788598,533.0179634426448,767.9429706917153,533.0179634426448,767.9429706917153,532.9999813483728,768.0010599994913,532.4774337010867,770.2105570138784,532.7952882990417,769.3233617437619,533.0179640697015,767.9429681206003,533.0179640697015,767.9429681206003,536.7065243171228,722.5782084369913,532.7952882990417,769.3233617437619
533.0,768.0,525.5585585585585,769.6612612612613,3_4,128,3,173.21245515557194,531.5968570988,767.9245152755415,527.4887810350691,753.7195087143471,533.0009413710585,768.0001284487613,532.9998144547834,768.0021013739812,533.0195758450508,768.0140231859319,532.9999385825148,767.9999186404117,532.9999385825148,767.9999186404117,533.0001774113,768.0006871505415,532.9998142374391,768.0021028267387,533.0195772753743,768.0140204861858,532.999936131698,767.9999103828108,532.999936131698,767.9999103828108,531.5968570988,767.9245152755415,533.0195772753743,768.0140204861858
448.0,563.0,438.6585507246377,566.2385507246378,3_2,71,5,112.95744644128483,444.1962614007315,566.2183000667478,438.69270936167777,562.6645197631882,448.0008358808877,563.0007577558878,448.08450990262,562.9578534883364,448.13802534623363,562.7570526693468,447.9994371982934,563.0011580606821,447.9994371982934,563.0011580606821,448.0007047601065,563.0010149104978,448.0845102050729,562.9578531769762,448.13802605412354,562.7570527990579,447.99943661168425,563.0011379344846,447.99943661168425,563.0011379344846,444.1962614007315,566.2183000667478,448.13802605412354,562.7570527990579
576.0,666.0,582.6639639639639,664.9810810810811,7_2,137,3,81.61776106032622,587.8085864858904,663.6053386140256,580.9007577663727,659.0346508652435,576.0006338858389,666.0002461201436,575.7436404054265,666.2811073238743,575.6943998645124,666.2523931204189,576.0927883887075,665.7813103920705,576.0927883887075,665.7813103920705,576.0026782827654,665.9995036530881,575.7436401958994,666.2811067329603,575.6944000435476,666.2523924435532,576.0927879886904,665.7812998700529,576.0927879886904,665.7812998700529,587.8085864858904,663.6053386140256,575.6944000435476,666.2523924435532
448.0,461.0,444.0246246246248,467.6423423423423,17_3,88,2,69.22325441968509,449.0230739035021,468.21048183813343,441.2112562166919,469.52225466596303,448.0019195464998,461.0009849204673,451.53498758445727,458.60354498291076,450.89924163795473,458.7138191200131,446.1948942331224,462.46338106533426,446.1948942331224,462.46338106533426,448.0042750753771,461.00003261938343,451.5349879322755,458.6035444274597,450.89924227805545,458.71381816829705,446.19489478248465,462.4633729018236,446.19489478248465,462.4633729018236,449.0230739035021,468.21048183813343,450.89924227805545,458.71381816829705
320.0,427.0,312.0182608695652,421.4098550724637,17_2,79,5,73.69787441470778,317.6041876769351,422.94391638390977,308.43368787816945,423.69847880806157,320.0028800101902,427.0011636662137,320.03564912502156,426.95566121465237,319.93764871345434,427.0095317115727,319.99982300716897,426.99988669630403,319.99982300716897,426.99988669630403,320.0011603331851,426.99909216515977,320.03565167253885,426.95566169087857,319.93764376486854,427.0095073560379,319.9998244738864,426.999885622191,319.9998244738864,426.999885622191,317.6041876769351,422.94391638390977,319.93764376486854,427.0095073560379
768.0,546.0,769.4864864864868,575.9162162162163,4_4,139,2,65.86611685487114,773.0072079948221,574.1385585760869,763.6855794176565,578.4330880270307,768.0002804317993,545.9999564505913,766.6115559212814,561.4560586368177,767.3194080164513,563.1230370105202,768.5235937157196,541.2786386824944,768.5235937157196,541.2786386824944,768.0017148307596,545.9993984198369,766.6115585569768,561.4560594600849,767.3194137982995,563.1230388413661,768.5235935500895,541.2786421274938,768.5235935500895,541.2786421274938,773.0072079948221,574.1385585760869,767.3194137982995,563.1230388413661
597.0,614.0,592.4784848484849,633.1030303030302,3_4,98,1,47.81723410924626,597.3982820144153,631.8760822842271,590.1264083924286,629.3866276199942,597.0004575047349,613.9992705374052,591.8577620348485,621.6077107498668,590.8861159594151,624.8115924360295,596.6209970507477,613.1978575973799,596.6209970507477,613.1978575973799,597.0022859206653,613.9998615811021,591.8577619555368,621.607710407183,590.886116072776,624.8115918330939,596.6209979882693,613.197859985605,596.6209979882693,613.197859985605,597.3982820144153,631.8760822842271,590.886116072776,624.8115918330939
533.0,597.0,517.4855855855857,610.5450450450451,12_1,30,2,99.84277044814391,522.7581423970573,609.8436825287054,516.7454672057368,606.2077277294567,533.0029195699607,596.9991466075451,518.6124437552252,608.7021211475937,518.7675166326588,608.6539403450963,516.3269421014701,610.5014742881328,516.3269421014701,610.5014742881328,533.0020388814323,596.9987118255804,518.6124438921647,608.7021211161491,518.7675169180898,608.6539402899298,516.3269414755218,610.5014669906805,516.3269414755218,610.5014669906805,522.7581423970573,609.8436825287054,518.7675169180898,608.6539402899298
768.0,546.0,735.3849849849852,544.4510510510511,1_1,50,2,17.910629714473842,738.9573354551375,543.0448719139034,730.4099025287601,547.4342585529423,767.9999752193602,545.9999402112073,763.8682134369336,549.3442263468335,761.4719002935457,550.1714124445823,767.8555029779585,546.0994756764478,767.8555029779585,546.0994756764478,768.0007924863875,545.9996448631222,763.8682195842051,549.3442272010046,761.4719124512097,550.1714141315964,767.8555028268873,546.0994772190983,767.8555028268873,546.0994772190983,738.9573354551375,543.0448719139034,761.4719124512097,550.1714141315964
704.0,666.0,661.3117824773416,675.8791540785497,9_1,37,1,66.8172101138196,666.0210051792554,674.0319161605244,657.2165387839432,671.559930967072,703.9998928289041,666.0015906019872,693.6341269304688,643.9822949793789,693.1874995079187,645.9754809034836,704.6816309671029,667.6526971979803,704.6816309671029,667.6526971979803,704.0012297886304,666.0016427230244,693.6341415314727,643.9823154264964,693.1875301396952,645.9755295373097,704.6816296833448,667.65269853586,704.6816296833448,667.65269853586,666.0210051792554,674.0319161605244,693.1875301396952,645.9755295373097
