model,mean_error,variance
similarity,59.977467574054394,1980.7985304637664
poly,72.25176014495942,3109.6900317529326
"rbf[thin_plate,s=1.0]",352.58850913609274,15228244.611886164
"rbf[multiquadric,s=0.0]",89.38344703445244,3091.096337850893
"rbf[multiquadric,s=1.0]",176.62533395361868,18420.156653704147
"rbf[multiquadric,s=2.0]",277.07803401353743,45750.833304170745
tps,56.61210981636337,1826.1964400304682
pwa,136.45045797225652,20953.120959294327
gpr,106.9195076082594,20727.53437974342
"sim+rbf[thin_plate,s=1.0]",138.7246020052884,1802494.250904252
"sim+rbf[multiquadric,s=0.0]",57.534845564779246,1855.55619229487
"sim+rbf[multiquadric,s=1.0]",53.58487929841735,1583.6627264961292
"sim+rbf[multiquadric,s=2.0]",54.31722863098375,1625.4831870315545
sim+tps,56.61210981915113,1826.1964402793365
sim+pwa,136.45045797225652,20953.120959294323
sim+gpr,55.5378547836835,1704.8646456922934
