timestamp,target_index,target_x,target_y,orginal_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,dx,dy,spread,n_samples
2025-10-17T13:13:09.453,2,1175,238,1180.042372881356,236.09322033898306,,,,,5,-2,44.47,118
2025-10-17T13:13:15.856,7,1621,596,1576.7118644067796,608.3644067796611,,,,,-44,12,46.41,118
2025-10-17T13:13:22.259,9,729,953,735.0,867.7179487179487,,,,,6,-85,50.7,117
2025-10-17T13:13:28.671,11,1621,953,1576.0260869565218,916.4347826086956,,,,,-44,-36,53.97,115
2025-10-17T13:13:35.071,4,283,596,265.37606837606836,562.1538461538462,,,,,-17,-33,50.05,117
2025-10-17T13:13:41.487,0,283,238,251.00877192982455,214.73684210526315,,,,,-31,-23,37.26,114
2025-10-17T13:13:47.904,5,729,596,735.5350877192982,563.3157894736842,,,,,6,-32,47.46,114
2025-10-17T13:13:54.301,1,729,238,723.2828282828283,245.25252525252526,,,,,-5,6,36.72,99
2025-10-17T13:14:00.703,3,1621,238,1603.4137931034484,241.56896551724137,,,,,-17,2,31.86,116
2025-10-17T13:14:07.117,10,1175,953,1143.017094017094,859.2136752136752,,,,,-31,-94,39.38,117
2025-10-17T13:14:13.527,8,283,953,297.5840707964602,922.1238938053098,,,,,14,-31,48.29,113
2025-10-17T13:14:19.925,6,1175,596,1183.2564102564102,591.5042735042736,,,,,8,-4,58.21,117
