timestamp,target_index,target_x,target_y,original_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples,sim_rbf_gaze_x,sim_rbf_gaze_y,sim_pwa_gaze_x,sim_pwa_gaze_y,sim_gpr_gaze_x,sim_gpr_gaze_y,subject_name,distance,is_outlier
2025-11-07T14:23:02.537,11,1336,321,1314.5363636363636,437.2272727272728,1331,376,1355,362,-21,116,-5,55,19,41,39.55,110,1354.929603725667,351.462817428998,1348.0267133823547,327.71263121722785,1351.22789082671,320.88892664729826,subject_001,118.19249811883267,False
2025-11-07T14:23:08.941,19,569,476,514.3703703703703,487.0185185185185,551,470,563,477,-54,11,-18,-6,-6,1,53.94,108,562.0186165035623,474.9188315679571,569.1007818106315,466.3873131157932,566.148324575524,466.8933574274116,subject_001,55.729742362704734,False
2025-11-07T14:23:21.750,4,202,234,111.49090909090908,231.9181818181818,144,250,184,234,-90,-2,-58,16,-18,0,40.06,110,166.64741083858087,251.2256894299696,163.0,132.0,172.34538200021177,254.9717199274059,subject_001,90.5330299069474,False
2025-11-07T14:23:34.565,18,1800,203,1753.8818181818183,298.6909090909091,1756,256,1779,158,-46,95,-44,53,-21,-45,40.98,110,1779.0620100484086,202.35217787155284,1741.0,132.0,1766.7848519618326,209.50082447551696,subject_001,106.22446411660307,False
2025-11-07T14:23:53.783,17,1046,679,1003.5855855855856,692.3423423423424,1036,680,1046,679,-42,13,-10,1,0,0,60.89,111,1043.6429364878743,681.3512840502269,1050.385261361006,670.6935096883391,1049.671201585341,679.1887085226098,subject_001,44.46347545230745,False
2025-11-07T14:24:00.188,16,924,834,888.5229357798165,820.0,910,834,924,839,-35,-14,-14,0,0,5,47.83,109,917.1954274701496,842.7685392971238,916.3249410494548,839.5560908015934,911.3303925698652,852.6965359280301,subject_001,38.139508199281,False
2025-11-07T14:24:06.598,3,386,572,298.6756756756757,599.5585585585585,324,599,345,606,-87,27,-62,27,-41,34,105.28,111,340.5667292657951,612.9612618236581,339.6098398698504,609.7647651124541,342.5428668980005,604.3930901218222,subject_001,91.56970988555813,False
2025-11-07T14:24:19.407,15,363,581,283.6422018348624,578.6146788990826,312,577,332,583,-79,-2,-51,-4,-31,2,59.51,109,327.66915590205247,591.4747544182991,329.76052982302735,586.9859748969388,332.1302381378934,582.7133984428057,subject_001,79.39363882814035,False
2025-11-07T14:24:25.807,2,1399,894,1370.0,911.9908256880734,1424,948,1421,924,-29,17,25,54,22,30,26.44,109,1420.782126477311,933.7918242152788,1422.6552311811615,961.7010099841036,1425.127378036735,959.6871324025618,subject_001,34.12725903055565,False
2025-11-07T14:24:38.621,8,1322,465,1289.990990990991,609.027027027027,1322,573,1336,557,-32,144,0,108,14,92,42.31,111,1334.1636884085406,560.8920622221424,1333.2496337303362,542.7762536849043,1338.0225829764038,545.3442600636373,subject_001,147.5410491083169,False
