timestamp,target_index,target_x,target_y,gaze_x,gaze_y,dx,dy,spread,n_samples
2025-10-16T21:53:22.494,10,1175,953,1184,854,8,-99,16.8,102
2025-10-16T21:53:28.898,7,1621,596,1575,629,-45,33,53.55,101
2025-10-16T21:53:35.301,4,283,596,314,527,31,-69,42.4,102
2025-10-16T21:53:41.704,0,283,238,319,211,35,-28,32.66,103
2025-10-16T21:53:48.099,6,1175,596,1133,528,-42,-68,41.77,95
2025-10-16T21:53:54.523,9,729,953,729,753,0,-200,31.37,94
2025-10-16T21:54:00.919,11,1621,953,1566,905,-55,-48,40.64,95
2025-10-16T21:54:07.339,1,729,238,735,198,6,-40,48.4,96
2025-10-16T21:54:13.733,5,729,596,727,511,-2,-84,55.6,98
2025-10-16T21:54:20.141,3,1621,238,1604,265,-17,25,34.04,101
2025-10-16T21:54:26.552,2,1175,238,1165,245,-10,6,32.78,99
2025-10-16T21:54:32.956,8,283,953,330,869,47,-84,50.13,103
