x,y
1764471879.5813136,402,874
1764471879.6120708,396,885
1764471879.6460123,420,865
1764471879.67188,444,820
1764471879.7015836,434,818
1764471879.731318,423,804
1764471879.7610843,416,798
1764471879.7966805,401,805
1764471879.8310742,406,816
1764471879.8617983,412,824
1764471879.904573,425,820
1764471879.9420109,420,819
1764471879.9815795,410,816
1764471880.006459,401,828
1764471880.0317283,398,837
1764471880.06597,407,831
1764471880.0964973,404,824
1764471880.1409624,412,833
1764471880.1761112,416,847
1764471880.2073112,431,854
1764471880.2360902,420,852
1764471880.2720056,420,835
1764471880.3065114,417,825
1764471880.3369687,410,825
1764471880.3666387,412,824
1764471880.401563,565,725
1764471880.431003,628,526
1764471880.480959,686,387
1764471880.5222344,673,389
1764471880.5470157,684,406
1764471880.5861986,700,392
1764471880.6217766,707,358
1764471880.6614335,713,347
1764471880.7014737,765,392
1764471880.731016,1011,561
1764471880.7579296,1303,620
1764471880.7865179,1420,598
1764471880.8160932,1429,552
1764471880.846056,1384,559
1764471880.8814917,1353,606
1764471880.9162755,1344,616
1764471880.9512093,1351,598
1764471880.9770246,1441,618
1764471881.0059164,1574,709
1764471881.037729,1571,868
1764471881.0660326,1617,878
1764471881.1065733,1625,876
1764471881.1378434,1613,825
1764471881.171018,1644,875
1764471881.2066092,1648,879
1764471881.2364612,1541,994
1764471881.2712665,1577,999
1764471881.30661,1561,994
1764471881.3411002,1571,994
1764471881.3709507,1584,994
1764471881.407189,1570,989
1764471881.4362884,1582,990
1764471881.471801,1705,849
1764471881.5064178,1601,1023
1764471881.5363345,1589,1019
