x,y
252,609
228,604
215,602
204,603
192,600
196,606
210,609
205,605
199,610
206,616
214,617
210,618
194,610
179,612
189,611
201,608
197,606
185,604
180,607
170,611
179,596
186,584
185,580
178,582
179,570
177,562
172,572
154,599
146,618
148,619
167,605
174,596
167,601
171,600
170,605
164,623
158,634
163,636
168,628
168,623
171,624
171,625
177,620
168,615
152,625
140,636
138,637
133,617
134,607
138,609
147,606
159,617
176,634
183,631
178,625
174,618
164,606
156,599
155,600
151,605
150,609
141,608
137,602
134,605
133,606
129,611
136,614
136,617
144,623
152,626
146,623
144,608
140,593
148,587
150,587
158,582
154,585
153,590
143,592
140,585
139,578
146,572
148,575
153,580
155,586
152,584
164,585
158,586
156,590
157,584
160,579
153,572
148,558
144,559
155,577
156,595
159,601
157,601
157,602
153,600
151,604
160,598
165,592
168,589
164,589
152,592
145,587
145,588
154,592
165,597
174,603
171,620
161,630
156,627
159,616
155,612
145,614
145,613
155,604
156,595
