model,mean_error,variance
similarity,57.73518718415346,1858.0744494869884
poly,53.51249176568909,1964.4271518006121
"rbf[thin_plate,s=1.0]",54.19519231071865,1844.2488900882772
"rbf[multiquadric,s=0.0]",58.625056988281585,2018.0307044141737
"rbf[multiquadric,s=1.0]",70.05987554092178,2158.161047779759
"rbf[multiquadric,s=2.0]",102.86323459390547,5106.979823863356
tps,53.7479635070904,1787.2592948306406
pwa,53.48680154868012,2481.9863080263103
gpr,53.35268161882283,1359.7755547307725
"sim+rbf[thin_plate,s=1.0]",53.99227571852325,1830.2088933924558
"sim+rbf[multiquadric,s=0.0]",55.50388690478328,2024.9411300569654
"sim+rbf[multiquadric,s=1.0]",49.70213608847644,1386.7098621443026
"sim+rbf[multiquadric,s=2.0]",50.00043307926117,1402.6177853028855
sim+tps,53.747963519549714,1787.2592977644824
sim+pwa,53.48680154868012,2481.9863080263103
sim+gpr,51.980589760469634,1516.2251017475355
