x,y
1222,552
1221,550
1231,543
1254,548
1255,555
1271,557
1249,566
1214,571
1214,564
1222,570
1237,569
1232,545
1219,510
1208,506
1228,531
1226,551
1212,575
1216,580
1229,582
1240,570
1243,551
1229,548
1215,545
1230,537
1250,543
1243,553
1228,560
1226,578
1208,584
1179,577
1168,568
1195,583
1209,592
1215,583
1189,554
1189,556
1209,556
1193,558
1191,556
1211,553
1204,560
1191,542
1190,535
1197,542
1210,539
1227,537
1235,551
1195,556
1185,556
1212,558
1222,560
1226,562
1215,564
1230,565
1242,547
1240,526
1250,526
1253,514
1248,499
1252,492
1257,493
1258,497
1266,489
1264,491
1271,493
1277,494
1262,487
1260,487
1266,489
1265,495
1257,508
1237,540
1203,559
1194,557
1189,570
1202,579
1213,584
1203,567
1205,559
1197,560
1203,556
1213,523
1220,504
1228,495
1246,487
1244,497
1217,514
1202,515
1207,520
1206,539
1205,540
1202,548
1200,569
1210,580
1216,574
1223,561
1228,558
1221,544
1222,521
1217,514
1226,521
1225,533
1214,545
1213,543
1233,547
