subject,model,mean_error,variance
Freddie,similarity,87.58063020423036,2663.1247199860813
Freddie,poly,82.277898382614,2684.438097719832
Freddie,"rbf[thin_plate,s=1.0]",92.93465837825427,3066.8582616542553
Freddie,"rbf[multiquadric,s=0.0]",90.64352760047198,3266.767809676204
Freddie,"rbf[multiquadric,s=1.0]",106.66717565723089,4209.054683940814
Freddie,"rbf[multiquadric,s=2.0]",152.57892300592067,8912.759673258612
Freddie,tps,91.7745004888382,2954.724480416485
Freddie,pwa,81.16415743948414,3902.7210758830106
Freddie,gpr,74.92731486216574,2906.297399750802
Freddie,"sim+rbf[thin_plate,s=1.0]",91.94220703643653,3001.391950771754
Freddie,"sim+rbf[multiquadric,s=0.0]",94.58699552341568,3211.149085735884
Freddie,"sim+rbf[multiquadric,s=1.0]",79.70956739877197,2746.9508947017703
Freddie,"sim+rbf[multiquadric,s=2.0]",78.88520357198264,2698.295368163594
Freddie,sim+tps,91.77450049316754,2954.724480802614
Freddie,sim+pwa,81.16415743948416,3902.72107588301
Freddie,sim+gpr,86.7297978881237,2681.5753411667392
Jane,similarity,79.26173107907701,1999.504701895958
Jane,poly,77.55596156413397,1978.250503532161
Jane,"rbf[thin_plate,s=1.0]",77.94810918014059,2223.336698112233
Jane,"rbf[multiquadric,s=0.0]",81.9116987897325,2473.318912388173
Jane,"rbf[multiquadric,s=1.0]",86.78366242980273,2056.7465044765368
Jane,"rbf[multiquadric,s=2.0]",120.61264279750759,5880.927460238889
Jane,tps,77.45856589979577,2212.3697940785237
Jane,pwa,68.11875114240132,3254.866278886083
Jane,gpr,76.99717821756386,2007.789270409307
Jane,"sim+rbf[thin_plate,s=1.0]",78.1237028613413,2177.8747215360618
Jane,"sim+rbf[multiquadric,s=0.0]",79.00031134244223,2351.1150568427092
Jane,"sim+rbf[multiquadric,s=1.0]",72.23747043214249,1363.7145724128122
Jane,"sim+rbf[multiquadric,s=2.0]",71.65170128532185,1304.3901361705955
Jane,sim+tps,77.45856591727114,2212.3697958619077
Jane,sim+pwa,68.11875114240134,3254.8662788860797
Jane,sim+gpr,73.8426073507568,1960.6297587799368
Joao,similarity,135.6932949325744,10282.99766362204
Joao,poly,111.00681656566034,8068.096406490618
Joao,"rbf[thin_plate,s=1.0]",119.46141402264625,11012.985104436764
Joao,"rbf[multiquadric,s=0.0]",121.72456476125812,14974.8103950415
Joao,"rbf[multiquadric,s=1.0]",118.55227464828356,6936.165405082472
Joao,"rbf[multiquadric,s=2.0]",159.7509681377779,10466.665482988903
Joao,tps,114.36903592029313,10763.97997519763
Joao,pwa,99.18543048485192,8024.477393857508
Joao,gpr,108.47220945348772,5455.21486940527
Joao,"sim+rbf[thin_plate,s=1.0]",117.04360412043918,11108.64046542482
Joao,"sim+rbf[multiquadric,s=0.0]",122.28335650317868,14592.419141642264
Joao,"sim+rbf[multiquadric,s=1.0]",99.89139977985431,6554.779881868044
Joao,"sim+rbf[multiquadric,s=2.0]",98.55336037456516,7212.584118012489
Joao,sim+tps,114.36903605091841,10763.980064254556
Joao,sim+pwa,99.18543048485192,8024.47739385751
Joao,sim+gpr,109.50453103547369,5379.434343585254
Khushee Goel,similarity,97.75811908327643,3739.469626839288
Khushee Goel,poly,173.5327528764822,83938.62174972898
Khushee Goel,"rbf[thin_plate,s=1.0]",143.4042200129225,21195.81239443905
Khushee Goel,"rbf[multiquadric,s=0.0]",169.51335677168143,26906.421216317736
Khushee Goel,"rbf[multiquadric,s=1.0]",105.87145937782073,2162.1178158948014
Khushee Goel,"rbf[multiquadric,s=2.0]",130.57814996302855,5871.945184040158
Khushee Goel,tps,137.3115301373184,16672.019924278822
Khushee Goel,pwa,73.97679606013138,5356.91814131423
Khushee Goel,gpr,82.96516104884057,2200.775056807631
Khushee Goel,"sim+rbf[thin_plate,s=1.0]",146.02307428148853,21304.08057952663
Khushee Goel,"sim+rbf[multiquadric,s=0.0]",165.9716937993494,29767.597313490354
Khushee Goel,"sim+rbf[multiquadric,s=1.0]",92.43547031401836,2886.062170558919
Khushee Goel,"sim+rbf[multiquadric,s=2.0]",90.62108166749158,2913.963948781031
Khushee Goel,sim+tps,137.31153042651007,16672.020051580555
Khushee Goel,sim+pwa,73.97679606013145,5356.918141314229
Khushee Goel,sim+gpr,93.07051652230194,3932.40655348233
Liu Jiaqi,similarity,53.49366438317735,1395.9030539809785
Liu Jiaqi,poly,47.85749806833913,1312.0053592646664
Liu Jiaqi,"rbf[thin_plate,s=1.0]",48.39644849715145,1215.6600649828877
