model,mean_error,variance
similarity,58.2369908442904,1853.0842182235106
poly,53.984176544343484,2241.5397541209013
"rbf[thin_plate,s=1.0]",55.36688398697999,1841.8913723406283
"rbf[multiquadric,s=0.0]",60.56781965596861,2027.5647424291492
"rbf[multiquadric,s=1.0]",77.11133432069269,2228.6657359494516
"rbf[multiquadric,s=2.0]",111.62811514461197,5398.619042636345
tps,54.528395234411825,1772.0836904642451
pwa,54.098029483978564,2468.1906238979504
gpr,54.75152299666387,1386.8907874916188
"sim+rbf[thin_plate,s=1.0]",54.99285876048019,1832.347844956274
"sim+rbf[multiquadric,s=0.0]",56.05500472875708,2012.4991910780186
"sim+rbf[multiquadric,s=1.0]",50.36140518990982,1397.0388184682
"sim+rbf[multiquadric,s=2.0]",50.70317000795188,1415.5572343241583
sim+tps,54.528395243872,1772.0836931051585
sim+pwa,54.09802948397856,2468.19062389795
sim+gpr,52.89190565002996,1524.2979939236977
