x,y
744,896
736,873
735,886
742,910
736,924
731,921
737,914
736,911
723,905
709,891
696,894
691,896
665,947
689,956
692,957
707,971
711,964
714,960
703,936
703,931
704,933
702,950
709,946
713,950
732,937
719,918
713,915
722,916
730,924
721,924
721,922
722,908
719,908
716,914
722,925
703,934
693,934
671,915
677,906
690,912
694,903
700,906
700,895
700,891
698,899
695,914
691,918
697,912
708,915
708,908
710,915
719,923
751,919
759,907
750,906
759,904
755,917
753,913
751,908
726,913
710,920
715,930
718,935
723,948
714,957
726,958
735,963
733,951
736,948
743,943
739,952
727,952
733,940
728,936
723,928
729,929
743,920
748,913
739,902
726,907
717,911
712,918
712,915
720,916
711,906
717,883
703,876
701,881
720,895
727,892
723,906
704,933
697,943
683,950
675,945
668,940
672,933
675,924
717,915
733,901
730,884
726,880
734,911
728,925
719,917
686,906
661,904
655,917
666,906
677,911
686,896
683,893
695,888
696,887
685,900
680,902
680,885
683,888
683,890
