model,mean_error,variance
similarity,58.17698978893273,1901.572028637562
poly,57.6674262319904,2012.7437276023845
"rbf[thin_plate,s=1.0]",58.209285112364554,3164.8681775368646
"rbf[multiquadric,s=0.0]",57.22800216422758,2207.671708677116
"rbf[multiquadric,s=1.0]",98.47343670522719,3636.52993871896
"rbf[multiquadric,s=2.0]",149.16665283566329,9222.92504427889
tps,55.15418086426874,1973.9272026941835
pwa,78.21637540427976,8509.422449456893
gpr,56.228643092615606,1860.8880690056742
"sim+rbf[thin_plate,s=1.0]",55.324775946203296,2073.236282467007
"sim+rbf[multiquadric,s=0.0]",56.86120065726251,2409.1168624559577
"sim+rbf[multiquadric,s=1.0]",51.52081259052923,1519.2273715424585
"sim+rbf[multiquadric,s=2.0]",52.26712539287964,1542.1355083342928
sim+tps,55.154180882233355,1973.9272111896503
sim+pwa,78.21637540427973,8509.422449456892
sim+gpr,54.054795669513425,1644.5596576895343
