timestamp,target_index,target_x,target_y,orginal_gaze_x,original_gaze_y,rbf_gaze_x,rbf_gaze_y,poly_gaze_x,poly_gaze_y,original_dx,original_dy,rbf_dx,rbf_dy,poly_dx,poly_dy,spread,n_samples
2025-10-19T16:28:20.680,8,283,953,279.46153846153845,950.3504273504274,,,,,-3,-2,,,,,47.28,117
2025-10-19T16:28:27.099,4,283,596,277.34188034188037,625.4957264957264,,,,,-5,29,,,,,40.0,117
2025-10-19T16:28:33.508,11,1621,953,1609.7672413793102,953.0344827586207,,,,,-11,0,,,,,43.12,116
2025-10-19T16:28:39.910,5,729,596,744.2966101694915,587.3474576271186,,,,,15,-8,,,,,37.47,118
2025-10-19T16:28:46.317,9,729,953,744.0166666666667,910.5,,,,,15,-42,,,,,42.85,120
2025-10-19T16:28:52.747,1,729,238,738.4406779661017,290.7118644067797,,,,,9,52,,,,,38.72,118
2025-10-19T16:28:59.154,3,1621,238,1607.6806722689075,271.05882352941177,,,,,-13,32,,,,,27.33,119
2025-10-19T16:29:05.568,0,283,238,312.6525423728813,279.1949152542373,,,,,29,40,,,,,32.44,118
2025-10-19T16:29:11.979,10,1175,953,1208.7833333333333,944.1916666666667,,,,,33,-9,,,,,42.85,120
2025-10-19T16:29:18.388,7,1621,596,1612.7796610169491,621.3220338983051,,,,,-8,25,,,,,38.12,118
2025-10-19T16:29:24.792,6,1175,596,1179.2416666666666,593.3916666666667,,,,,4,-2,,,,,45.86,120
2025-10-19T16:29:31.196,2,1175,238,1211.825,275.2583333333333,,,,,36,36,,,,,40.49,120
