x,y
638,930
638,886
668,905
676,925
655,953
655,960
675,948
684,924
680,893
669,859
670,835
655,846
665,901
682,913
652,911
615,897
618,912
628,918
633,911
632,882
651,859
654,855
637,868
620,868
628,877
645,915
650,940
648,931
643,920
634,895
626,858
617,841
623,827
631,821
638,821
658,839
665,872
669,895
664,903
676,917
650,928
628,934
648,917
653,938
652,940
663,931
665,958
657,941
672,933
672,918
663,936
662,951
670,957
682,962
680,941
678,916
675,923
661,931
645,932
622,938
615,940
622,939
633,909
646,894
645,921
654,917
677,912
682,907
660,909
656,908
677,923
693,932
695,932
690,935
693,933
682,931
674,927
678,929
686,924
696,926
685,912
670,895
661,894
667,891
683,896
718,918
722,932
703,939
689,948
662,952
650,951
662,936
671,937
679,935
674,915
673,896
684,890
684,903
655,894
633,884
640,870
650,853
649,863
655,861
662,887
670,886
669,899
677,914
690,906
668,901
664,904
680,896
691,878
693,896
691,934
686,957
689,964
689,968
682,980
684,950
