x,y
1107,-21
1122,-24
1192,-32
1184,-2
1179,27
1174,14
1175,2
1168,-5
1167,-15
1174,-29
1180,-43
1189,-50
1191,-44
1191,-19
1194,15
1189,11
1180,16
1179,15
1140,41
1144,28
1136,16
1137,17
1146,29
1157,52
1159,65
1211,45
1250,-4
1242,-11
1240,11
1240,7
1232,2
1237,4
1245,12
1250,22
1251,34
1255,25
1249,8
1257,-14
1255,-31
1266,-29
1276,-17
1268,-4
1251,1
1253,2
1262,12
1262,11
1227,54
1143,146
1128,146
1130,131
1140,131
1132,150
1134,158
1130,165
1121,178
1111,196
1101,196
1098,193
1121,183
1130,171
1118,174
1121,150
1119,84
1129,73
1140,78
1139,79
1138,73
1138,61
1138,66
1130,68
1129,65
1123,68
1119,78
1113,78
1113,78
1119,80
1121,94
1123,96
1124,94
1127,105
1126,116
1120,124
1117,126
1123,132
1133,131
1167,125
1165,113
1161,106
1166,109
1171,111
1168,112
1170,124
1173,122
1168,134
1176,135
1181,141
1183,144
1183,136
1192,126
1236,87
1238,92
1240,90
1245,61
1250,41
1255,41
1255,51
1247,63
1237,72
1239,82
1231,80
1226,81
1222,71
1223,61
1210,65
1196,78
1163,91
1167,112
1160,118
1142,106
