x,y
1769,198
1759,180
1773,168
1740,148
1734,152
1756,182
1759,191
1744,183
1740,183
1747,196
1751,199
1753,206
1733,213
1730,233
1717,220
1709,209
1712,243
1717,257
1713,257
1724,253
1735,252
1744,247
1755,240
1751,239
1734,212
1726,201
1728,195
1733,201
1738,201
1738,203
1745,206
1745,211
1754,228
1762,243
1765,237
1759,231
1744,219
1726,229
1722,231
1727,245
1727,237
1728,232
1720,238
1707,253
1699,249
1699,240
1709,231
1708,236
1693,255
1696,271
1694,263
1684,258
1667,231
1687,231
1678,219
1681,222
1690,219
1680,228
1662,214
1671,205
1666,211
1664,213
1667,241
1658,261
1666,268
1662,251
1666,250
1664,256
1670,260
1682,258
1678,244
1688,249
1684,264
1678,263
1669,275
1677,279
1674,276
1672,273
1677,242
1681,222
1676,204
1676,213
1667,213
1667,223
1654,224
1654,217
1649,207
1650,201
1656,218
1649,222
1647,233
1646,244
1648,242
1658,233
1657,242
1661,233
1656,237
1654,233
1662,234
1635,237
1635,276
1637,289
1650,296
1653,280
1650,275
1663,276
1665,273
1669,260
1663,247
1668,229
1651,224
1654,232
