model,mean_error,variance
similarity,56.86895836172064,1837.337269119476
poly,52.57778016196122,1885.3076430836734
"rbf[thin_plate,s=1.0]",53.42079994227677,1876.0216329208572
"rbf[multiquadric,s=0.0]",54.471030417028494,2347.965328652008
"rbf[multiquadric,s=1.0]",64.50902092035952,1938.9971375721918
"rbf[multiquadric,s=2.0]",89.39455248097639,4071.2202340024546
tps,53.184522493355075,1797.6680670495512
pwa,52.54783340231826,2492.283842602087
gpr,50.16685019631481,1266.265159603199
"sim+rbf[thin_plate,s=1.0]",53.28574176386465,1851.129071642659
"sim+rbf[multiquadric,s=0.0]",55.01886791296013,2500.8174120155877
"sim+rbf[multiquadric,s=1.0]",48.48690163395073,1338.0565964283255
"sim+rbf[multiquadric,s=2.0]",48.720626066032764,1347.5968571654123
sim+tps,53.184522519087565,1797.6680765918518
sim+pwa,52.54783340231827,2492.283842602087
sim+gpr,49.7874977893136,1414.1204983501327
