x,y
1764465415.405377,141,993
1764465415.441142,147,998
1764465415.4709451,165,1001
1764465415.5099916,174,997
1764465415.5408645,181,995
1764465415.5852141,184,993
1764465415.6258156,195,1005
1764465415.6501775,211,1018
1764465415.685625,207,1010
1764465415.7203102,208,1007
1764465415.7509418,217,996
1764465415.7862754,214,1000
1764465415.8152688,201,1004
1764465415.8500607,191,1010
1764465415.885501,171,998
1764465415.9208305,164,984
1764465415.9607797,157,971
1764465415.9969254,163,980
1764465416.0253224,158,985
1764465416.0662217,160,980
1764465416.0954266,175,971
1764465416.1308093,170,971
1764465416.1650777,170,977
1764465416.1954284,181,991
1764465416.231081,199,999
1764465416.265658,216,993
1764465416.2951336,214,986
1764465416.3304672,202,987
1764465416.3612185,187,980
1764465416.3951378,188,982
1764465416.4303823,196,977
1764465416.470599,210,988
1764465416.5058002,208,981
1764465416.5367289,204,977
1764465416.5704734,202,971
1764465416.600835,197,956
1764465416.6351426,198,965
1764465416.6698313,208,969
1764465416.7007987,216,968
1764465416.7369802,213,960
1764465416.7750945,206,941
1764465416.8101614,183,927
1764465416.8398805,164,939
1764465416.8754957,173,930
1764465416.9057834,173,922
1764465416.950683,172,930
1764465416.9901054,157,935
1764465417.0150359,170,950
1764465417.045232,176,959
1764465417.0806983,189,960
1764465417.1055875,177,967
1764465417.1350799,190,992
1764465417.1651254,190,1009
1764465417.1949239,189,1008
1764465417.2247977,188,1011
1764465417.2603712,198,1020
1764465417.2906814,200,1034
1764465417.325551,186,1035
1764465417.3655818,185,1022
1764465417.3953123,188,1028
1764465417.4255524,193,1024
1764465417.4599128,182,1024
1764465417.4948,182,1018
1764465417.5346816,164,986
1764465417.5696363,152,961
1764465417.5948613,167,955
1764465417.630657,170,954
1764465417.6655035,177,966
1764465417.6964748,172,975
1764465417.7301743,167,985
1764465417.760355,171,981
1764465417.8003075,180,976
1764465417.8301833,174,970
1764465417.8650267,189,972
1764465417.9005904,190,970
1764465417.9351866,187,969
1764465417.9707391,196,964
1764465417.9955509,206,969
1764465418.0254638,209,978
1764465418.0651639,206,990
1764465418.0953448,196,1004
1764465418.1303477,172,998
1764465418.1701567,164,989
1764465418.1945612,178,990
1764465418.2246573,196,996
1764465418.27035,194,989
1764465418.2998114,187,981
1764465418.3296,175,972
1764465418.3652625,168,969
1764465418.3958423,156,973
1764465418.4350333,156,992
1764465418.4604316,164,996
1764465418.4997091,173,991
1764465418.5344718,178,985
1764465418.5647159,184,979
1764465418.6057732,192,978
1764465418.635938,195,984
1764465418.6696773,197,998
1764465418.7003248,196,1005
1764465418.7307477,198,1001
1764465418.7656574,189,996
1764465418.7997074,176,986
1764465418.8344607,176,986
1764465418.8702893,170,987
1764465418.8997858,163,999
1764465418.934716,153,991
1764465418.9697995,137,973
1764465419.005325,144,975
1764465419.0402193,155,978
1764465419.0704145,164,991
1764465419.0996048,173,1000
1764465419.1351707,182,1008
1764465419.169383,182,1008
1764465419.2001433,178,1011
1764465419.2349844,175,1010
1764465419.2693698,166,1018
1764465419.3051507,157,1025
1764465419.3343477,153,1017
1764465419.3650994,166,1003
